# {"t_start": 1541107205.1439726, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,202,27.574267
0.0,127,29.206917
2.0,200,31.721789
3.0,248,34.92184
2.0,200,37.516874
1.0,173,39.701069
1.0,173,41.952526
5.0,328,46.227604
0.0,125,47.774921
1.0,171,49.995843
0.0,125,51.485759
2.0,204,54.070119
0.0,129,55.655575
1.0,171,58.469352
2.0,206,62.167744
0.0,125,64.320026
3.0,228,67.828294
0.0,127,69.599009
2.0,204,72.565739
0.0,129,74.378812
2.0,204,77.508216
1.0,157,80.883921
0.0,129,82.948451
0.0,129,84.635133
7.0,409,90.079316
0.0,127,91.618711
1.0,157,93.588034
1.0,177,95.829376
1.0,173,98.003649
1.0,155,99.841716
0.0,127,101.391437
3.0,252,104.702673
2.0,202,107.307881
6.0,362,111.96621
0.0,129,113.536258
0.0,127,115.04703
2.0,202,117.556867
5.0,352,122.132346
0.0,129,123.620202
6.0,399,128.794115
0.0,129,130.352164
4.0,299,134.201543
0.0,127,135.740529
0.0,127,137.270611
3.0,270,140.6863
3.0,248,143.896983
4.0,297,147.658975
0.0,123,149.149068
5.0,350,153.72913
0.0,129,155.286648
0.0,129,156.83708
2.0,226,159.700209
0.0,127,161.202788
3.0,249,164.36811
0.0,129,165.916326
1.0,175,168.099811
0.0,129,169.623673
2.0,198,172.104011
2.0,220,174.857877
1.0,175,177.021555
0.0,127,178.518033
0.0,127,180.0041
2.0,202,182.562302
0.0,129,184.071198
3.0,230,187.00885
5.0,372,191.771619
3.0,248,194.911403
2.0,202,197.463517
0.0,125,198.93717
4.0,281,202.434526
0.0,125,203.906398
2.0,185,206.198082
5.0,350,210.623532
4.0,297,214.400329
2.0,220,217.165193
11.0,484,223.326392
4.0,319,227.316157
8.0,398,232.291069
11.0,477,238.22047
6.0,378,242.960823
6.0,392,247.937422
5.0,295,251.582278
4.0,319,255.546934
4.0,305,259.317963
9.0,380,264.052119
10.0,498,270.170828
6.0,358,274.574349
3.0,219,277.234068
8.0,496,283.433672
5.0,374,288.05702
14.0,679,296.47925
16.0,670,304.772573
13.0,351,308.995956
12.0,649,316.943775
6.0,363,321.364392
12.0,577,328.437714
17.0,582,336.908026
10.0,455,343.085777
12.0,479,349.374077
37.0,738,358.515788
3.0,275,361.826498
21.0,746,370.896091
28.0,619,378.440701
42.0,1048,391.367647
11.0,547,397.9603
21.0,491,403.927237
35.0,929,415.377462
23.0,582,422.428331
43.0,1454,441.538403
31.0,1019,454.753902
49.0,1249,469.942367
49.0,1171,484.144504
57.0,1166,499.548114
53.0,1238,515.544018
48.0,1200,530.35217
36.0,1046,543.045822
24.0,850,553.331828
92.0,1857,576.012838
61.0,1392,592.981795
94.0,1669,613.337105
84.0,1514,631.626121
58.0,934,642.913064
165.0,1892,665.944303
93.0,1596,685.392634
73.0,1516,703.78448
142.0,1661,723.992803
222.0,1421,741.306567
108.0,1671,765.660423
76.0,1462,783.610118
90.0,1572,802.622971
253.0,1499,820.686211
31.0,995,832.729806
85.0,1421,850.018772
165.0,1802,871.979179
177.0,1687,892.417841
258.0,1397,909.336072
170.0,1582,928.511792
317.0,1690,949.002125
381.0,1799,970.630366
107.0,1282,986.109987
377.0,1927,1009.406408
370.0,1671,1029.580895
115.0,1453,1047.142676
322.0,1962,1070.761945
164.0,1656,1090.662767
164.0,1492,1109.247535
371.0,2705,1142.01317
