# {"t_start": 1541657710.5919244, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,247,12.28677
0.0,130,14.221849
6.0,400,20.359494
0.0,124,22.298838
1.0,155,24.668346
4.0,264,28.751747
0.0,133,30.801895
2.0,186,33.590832
0.0,128,35.481972
0.0,130,37.376586
4.0,282,41.601397
0.0,149,43.79417
1.0,181,46.556922
2.0,221,49.826875
0.0,147,52.070266
1.0,189,54.843797
2.0,228,58.217245
0.0,144,60.388263
1.0,178,63.05829
2.0,212,66.245454
2.0,218,69.481851
2.0,209,72.574921
2.0,215,75.804687
0.0,133,77.763805
3.0,248,81.428367
2.0,189,84.343839
0.0,133,86.520269
3.0,243,90.129052
0.0,147,92.331053
0.0,137,94.4011
0.0,126,96.295173
0.0,135,98.32895
2.0,207,101.419033
0.0,145,103.607733
0.0,146,105.820168
0.0,138,107.894773
4.0,313,112.614912
1.0,182,115.366601
0.0,135,117.41906
0.0,129,119.370277
0.0,139,121.413471
9.0,410,127.50252
3.0,291,131.889844
1.0,202,134.984903
0.0,131,136.952064
5.0,355,142.090956
0.0,142,144.226996
2.0,204,147.274909
1.0,158,149.65026
2.0,202,152.613816
3.0,302,157.126946
0.0,131,159.095478
0.0,124,160.973503
1.0,174,163.577311
0.0,144,165.72526
1.0,180,168.441709
3.0,250,172.190799
3.0,257,176.020106
3.0,275,180.136933
2.0,214,183.334315
5.0,351,188.571198
0.0,138,190.65846
0.0,153,192.911674
2.0,200,195.891652
1.0,182,198.61988
2.0,222,202.019761
2.0,201,205.103472
0.0,140,207.265084
0.0,144,209.428393
4.0,316,213.950342
11.0,497,221.831338
0.0,142,224.446986
0.0,136,226.655933
5.0,381,232.546149
2.0,197,235.436879
0.0,127,237.257905
0.0,128,239.126588
5.0,364,244.639953
0.0,141,246.749385
6.0,410,252.953787
5.0,349,258.123902
1.0,176,260.752588
0.0,129,262.618735
1.0,181,265.298704
0.0,132,267.356209
0.0,136,269.619473
0.0,136,271.865154
0.0,141,273.947834
2.0,224,277.183685
2.0,199,280.027939
2.0,204,283.712928
0.0,126,285.540217
0.0,134,287.576756
4.0,316,292.196117
0.0,130,294.150373
0.0,132,296.118332
5.0,359,301.506651
3.0,262,305.472722
4.0,302,309.883081
3.0,236,313.342721
1.0,162,315.935364
1.0,174,318.629221
2.0,206,321.790908
0.0,127,323.676783
8.0,374,329.244374
0.0,131,331.225918
3.0,249,334.928144
0.0,127,336.812774
4.0,300,341.195035
5.0,350,346.496162
0.0,136,348.493189
1.0,176,351.310792
3.0,232,354.972256
2.0,205,358.07334
5.0,352,363.298079
4.0,305,367.669533
2.0,200,370.775465
5.0,354,375.912506
3.0,247,379.540999
9.0,416,385.665925
2.0,198,388.536621
4.0,298,392.960212
10.0,437,399.698175
9.0,420,406.365318
4.0,300,410.867811
5.0,361,416.116025
0.0,131,418.083243
4.0,328,422.879427
0.0,130,424.922585
6.0,385,431.049696
2.0,201,434.363245
2.0,199,437.70282
5.0,330,442.469537
1.0,158,444.731784
0.0,134,446.699791
0.0,145,448.834182
3.0,247,452.908582
0.0,125,454.745861
0.0,131,456.661921
2.0,200,462.079335
0.0,127,468.489775
2.0,206,471.684386
6.0,400,478.121464
0.0,127,480.099727
0.0,130,482.093324
2.0,209,485.260801
4.0,324,490.050509
3.0,239,493.561138
0.0,128,495.390882
0.0,146,497.494519
6.0,398,503.252622
2.0,186,505.991452
5.0,343,510.919205
2.0,202,513.82412
5.0,355,519.588268
2.0,181,522.51456
3.0,256,533.491436
5.0,355,538.736399
6.0,405,544.687407
2.0,188,547.411306
1.0,158,549.723408
4.0,317,554.376147
1.0,156,557.343163
3.0,250,561.480973
2.0,204,564.586979
3.0,244,568.121624
1.0,172,570.698164
0.0,129,572.648422
0.0,126,574.568584
0.0,132,576.499319
2.0,199,586.536379
3.0,220,589.824616
5.0,349,594.867172
5.0,349,600.218447
0.0,123,602.178298
10.0,449,616.597616
1.0,177,620.747781
5.0,360,629.741156
4.0,302,638.060774
10.0,466,648.897296
1.0,154,652.761851
5.0,358,661.633819
3.0,269,668.225634
4.0,246,674.126566
2.0,200,678.79527
0.0,131,682.055382
0.0,130,685.15609
1.0,181,689.467495
0.0,127,692.361541
1.0,171,696.315374
0.0,127,699.325781
3.0,245,705.106442
1.0,161,708.858644
4.0,305,716.043734
5.0,347,724.000087
1.0,158,727.528906
1.0,153,731.106761
10.0,449,741.536659
1.0,181,745.816481
6.0,407,755.313095
3.0,233,760.749078
1.0,156,764.369662
2.0,226,769.556524
1.0,163,773.403515
3.0,258,779.266662
1.0,155,782.854432
2.0,190,787.159859
6.0,393,796.310046
9.0,404,805.584293
9.0,409,815.055986
1.0,164,818.879919
3.0,261,825.099737
2.0,186,829.335491
2.0,202,833.992613
0.0,133,836.994565
5.0,364,845.534573
2.0,197,850.147266
9.0,402,859.484343
1.0,164,863.279556
5.0,356,871.471474
5.0,347,879.53136
2.0,204,884.290747
1.0,182,888.481601
3.0,229,893.760532
2.0,201,898.469327
1.0,161,902.242387
4.0,278,908.798795
4.0,285,915.311015
1.0,158,918.965175
5.0,352,927.564097
13.0,462,938.826621
5.0,328,946.972342
1.0,170,951.013541
2.0,199,955.750831
0.0,132,958.867031
6.0,351,967.227737
2.0,189,971.687646
3.0,228,976.935158
2.0,190,981.350781
3.0,246,986.983367
6.0,404,996.391446
3.0,251,1002.238397
2.0,189,1006.773838
5.0,345,1014.83009
3.0,247,1020.435753
3.0,247,1026.242037
3.0,244,1031.86569
5.0,325,1039.469673
3.0,231,1044.848984
2.0,199,1049.392586
2.0,202,1054.016549
6.0,395,1063.247307
1.0,169,1067.04087
9.0,406,1076.482256
4.0,298,1083.361181
6.0,360,1091.720438
4.0,301,1098.686574
5.0,351,1106.87392
12.0,493,1118.286245
0.0,132,1121.449719
4.0,267,1127.678647
4.0,298,1134.622594
0.0,128,1137.651867
8.0,373,1146.338287
3.0,237,1151.82292
2.0,221,1156.900039
3.0,250,1162.702182
2.0,194,1167.206468
0.0,132,1170.280779
0.0,123,1173.083999
3.0,256,1179.02172
5.0,328,1186.611685
7.0,449,1197.047186
5.0,319,1204.652323
6.0,397,1213.859705
3.0,230,1219.281766
2.0,189,1223.684522
4.0,295,1230.50915
4.0,300,1237.44351
5.0,303,1244.608803
5.0,294,1251.466122
7.0,379,1260.462758
5.0,326,1268.044035
2.0,200,1272.707973
5.0,315,1280.057139
2.0,186,1284.312256
7.0,406,1293.587363
6.0,376,1302.354153
2.0,199,1306.935507
5.0,316,1314.057454
2.0,201,1318.720308
4.0,246,1324.421383
5.0,352,1332.579162
6.0,377,1341.321484
5.0,354,1349.569911
7.0,414,1359.061801
5.0,325,1366.464183
4.0,284,1372.927537
5.0,349,1380.888091
2.0,184,1385.160414
3.0,233,1390.434837
7.0,432,1400.405318
3.0,251,1406.166662
3.0,234,1411.538427
6.0,357,1419.851421
8.0,404,1429.657299
6.0,324,1437.43684
1.0,170,1441.605568
4.0,279,1448.326921
1.0,157,1452.069209
5.0,342,1460.532716
4.0,264,1466.779336
11.0,472,1477.606038
4.0,276,1484.006884
8.0,383,1493.258131
9.0,346,1501.395795
6.0,324,1508.783252
4.0,243,1514.348657
4.0,280,1520.882337
4.0,273,1527.133934
5.0,351,1535.37564
4.0,281,1541.971972
6.0,342,1549.828093
9.0,405,1559.213573
7.0,447,1569.580499
5.0,330,1577.273807
14.0,391,1586.363608
3.0,232,1591.791761
6.0,323,1599.269826
2.0,184,1603.487231
7.0,434,1613.498893
3.0,212,1618.362935
4.0,243,1623.953628
9.0,418,1633.639728
6.0,358,1641.90378
5.0,275,1648.284752
9.0,307,1655.393732
6.0,385,1664.086914
2.0,199,1668.703912
12.0,298,1675.492478
7.0,400,1684.824123
5.0,307,1691.78411
5.0,359,1700.076798
2.0,182,1704.217063
5.0,366,1712.70442
9.0,504,1724.271384
5.0,318,1731.59446
7.0,245,1737.298714
7.0,384,1746.326953
21.0,363,1754.851078
7.0,386,1763.603029
7.0,356,1771.681234
14.0,504,1783.254237
6.0,337,1791.062567
12.0,497,1802.564656
13.0,363,1811.137386
7.0,388,1820.15148
14.0,376,1828.806931
10.0,344,1836.794729
3.0,219,1841.955035
1.0,158,1845.600869
12.0,574,1858.826492
6.0,321,1866.239635
13.0,489,1877.330954
14.0,379,1885.908812
8.0,278,1892.328809
10.0,377,1900.856433
6.0,344,1908.736423
6.0,380,1917.383116
24.0,490,1928.596414
15.0,403,1937.752167
11.0,496,1949.284387
9.0,455,1959.755976
5.0,284,1966.117189
5.0,277,1972.471103
8.0,380,1981.085314
17.0,330,1988.519863
8.0,417,1998.054927
11.0,606,2013.297562
11.0,375,2022.259033
14.0,409,2032.016379
8.0,397,2040.99323
6.0,308,2048.202282
20.0,561,2062.138849
9.0,362,2070.985432
11.0,377,2079.788667
5.0,354,2088.431073
30.0,458,2099.743062
15.0,383,2109.59626
11.0,402,2119.171421
3.0,233,2124.775711
5.0,352,2133.434172
19.0,536,2146.782065
6.0,381,2156.282446
5.0,270,2163.432257
10.0,478,2175.418686
9.0,372,2184.025764
6.0,375,2193.240294
9.0,463,2204.206145
11.0,276,2210.738753
11.0,407,2220.487761
1.0,156,2224.060376
2.0,188,2228.979647
7.0,387,2238.408842
19.0,481,2250.849123
15.0,383,2259.913806
8.0,292,2266.936677
22.0,421,2277.01876
4.0,239,2282.665709
4.0,256,2288.78132
4.0,263,2295.021945
21.0,363,2303.480102
5.0,276,2310.18067
15.0,433,2320.799098
6.0,384,2330.019377
22.0,676,2346.191015
5.0,291,2353.238865
8.0,472,2366.012223
6.0,335,2374.254422
5.0,310,2381.699508
11.0,271,2388.211951
7.0,461,2400.050387
7.0,422,2409.851879
11.0,437,2419.965829
8.0,438,2430.032405
18.0,405,2440.388197
3.0,256,2447.155082
9.0,448,2459.38452
16.0,578,2472.921493
4.0,268,2479.454498
11.0,518,2492.089029
8.0,460,2503.869975
10.0,358,2512.366524
5.0,310,2519.751957
11.0,276,2526.278923
22.0,410,2536.224513
39.0,515,2549.705911
12.0,537,2563.876231
8.0,287,2571.683222
14.0,357,2580.660995
12.0,284,2587.581071
11.0,388,2596.905835
6.0,365,2605.703224
22.0,527,2618.474653
4.0,301,2625.818072
30.0,474,2637.429638
5.0,289,2644.477238
30.0,453,2655.404215
4.0,281,2662.342835
12.0,324,2670.191192
23.0,430,2680.568772
12.0,445,2691.315311
5.0,295,2698.624482
4.0,261,2705.379377
7.0,376,2714.636185
8.0,430,2724.551949
17.0,665,2740.045624
15.0,509,2751.843377
9.0,330,2759.378314
10.0,442,2769.666097
8.0,404,2779.152696
15.0,412,2789.42276
8.0,456,2800.219155
18.0,549,2813.889238
5.0,352,2822.383333
9.0,473,2834.259829
8.0,485,2845.63055
5.0,288,2852.293143
14.0,365,2861.348281
14.0,389,2871.313044
12.0,319,2878.69297
4.0,259,2884.851894
6.0,330,2892.936857
4.0,265,2899.41474
4.0,318,2907.225018
17.0,317,2914.90581
9.0,417,2924.688472
17.0,371,2933.440317
10.0,538,2946.884243
13.0,349,2955.069075
5.0,307,2962.317474
13.0,466,2973.333616
6.0,363,2981.750446
31.0,476,2992.940901
11.0,277,2999.723717
7.0,246,3006.144797
7.0,431,3016.989239
11.0,537,3029.480231
366.0,929,3051.212925
316.0,789,3070.257313
352.0,781,3089.976426
16.0,415,3099.873347
16.0,420,3109.990396
9.0,433,3119.900016
8.0,283,3126.685274
26.0,408,3136.182836
8.0,443,3146.397446
28.0,393,3155.40129
39.0,467,3166.151473
2.0,209,3171.082614
3.0,232,3176.67532
4.0,244,3182.346063
6.0,411,3192.024589
5.0,305,3199.083592
28.0,460,3209.651881
7.0,362,3218.297249
38.0,449,3228.75837
5.0,349,3236.848459
16.0,450,3247.226852
5.0,271,3253.560585
13.0,364,3262.037104
6.0,380,3270.650979
5.0,304,3277.734172
18.0,387,3286.682548
7.0,253,3292.456685
5.0,329,3300.313261
6.0,361,3308.951049
7.0,383,3317.79981
9.0,480,3329.146569
15.0,465,3340.662711
4.0,279,3348.79452
3.0,234,3355.265001
9.0,337,3364.598941
11.0,391,3374.158384
8.0,368,3382.652177
8.0,308,3389.785702
4.0,257,3395.632479
4.0,297,3402.429028
9.0,327,3409.798187
28.0,388,3418.738503
12.0,475,3429.661513
6.0,377,3438.154647
8.0,445,3448.742259
16.0,567,3463.181913
9.0,325,3471.595861
15.0,534,3485.08327
5.0,353,3494.277413
5.0,328,3503.002996
22.0,463,3514.382271
