# {"t_start": 1541657710.3131566, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,202,11.886118
0.0,126,13.765047
1.0,169,16.30567
0.0,143,18.548706
1.0,186,21.4068
1.0,161,23.897973
2.0,230,27.431194
2.0,197,30.473733
3.0,277,34.624711
1.0,164,37.051491
0.0,147,39.205433
2.0,227,42.662092
1.0,158,44.933184
1.0,175,47.617469
2.0,209,50.719607
1.0,184,53.481528
3.0,251,57.18878
1.0,173,59.769625
4.0,314,64.509226
0.0,140,66.605563
1.0,155,68.877287
1.0,176,71.5014
0.0,133,73.483821
0.0,156,75.841963
3.0,236,79.302854
1.0,191,82.107202
5.0,374,87.998636
0.0,155,90.300621
3.0,247,94.026957
2.0,201,97.033942
1.0,166,99.555042
0.0,129,101.449714
2.0,212,104.684384
0.0,127,106.598652
1.0,175,109.224694
0.0,129,111.149127
0.0,132,113.140635
5.0,353,118.45405
0.0,139,120.580196
0.0,137,122.593345
0.0,127,124.451049
5.0,343,129.609559
3.0,264,133.620878
5.0,332,138.621829
0.0,132,140.511555
6.0,373,146.012665
2.0,194,148.923686
0.0,130,150.881392
0.0,145,153.00162
4.0,332,157.949386
0.0,137,160.004307
0.0,127,161.924635
0.0,158,164.286752
4.0,303,168.842616
0.0,132,170.795654
0.0,143,172.963187
4.0,286,177.237171
0.0,138,179.278676
0.0,130,181.258543
0.0,152,183.498025
0.0,150,185.764735
0.0,132,187.736219
6.0,431,194.135346
1.0,182,196.879729
5.0,363,202.377125
0.0,133,204.460847
0.0,134,206.486441
0.0,140,208.622922
0.0,130,210.487305
9.0,419,216.493676
0.0,129,218.352522
0.0,128,220.658202
0.0,142,223.370399
0.0,128,225.50675
0.0,134,227.650857
3.0,250,231.539711
3.0,273,235.582403
0.0,142,237.619687
0.0,129,239.512087
3.0,255,243.231794
0.0,125,245.328002
3.0,260,249.310893
9.0,418,255.458437
8.0,381,261.121785
6.0,387,266.864911
2.0,207,270.290538
3.0,247,274.089988
0.0,138,276.086815
0.0,156,278.333863
13.0,481,286.02982
0.0,146,288.246513
0.0,141,290.28785
5.0,355,295.585236
2.0,210,298.595947
2.0,201,301.731154
0.0,130,303.634833
0.0,128,305.614788
9.0,410,311.581228
14.0,497,319.328897
2.0,197,322.310944
0.0,126,324.192179
1.0,155,326.528281
5.0,354,331.774074
6.0,382,337.468109
5.0,355,342.738807
0.0,135,344.762095
2.0,204,347.770895
3.0,272,352.072692
0.0,133,354.241226
4.0,287,358.518916
2.0,200,361.43401
2.0,207,364.528495
1.0,155,366.729462
2.0,213,369.8788
0.0,129,371.997359
0.0,126,373.777361
0.0,131,375.651561
0.0,129,377.53585
8.0,478,384.570554
4.0,297,388.884833
5.0,339,393.94606
0.0,138,396.023458
2.0,203,399.132239
6.0,400,405.507513
2.0,210,408.815154
3.0,250,412.447469
0.0,127,414.3182
0.0,129,416.169315
2.0,223,419.46379
1.0,177,422.053577
5.0,362,427.755169
2.0,208,431.009103
9.0,409,437.799153
0.0,131,439.699433
0.0,126,441.539831
0.0,133,443.475599
0.0,133,445.383935
8.0,355,450.959003
