# {"t_start": 1541657710.6584349, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,200,11.49978
0.0,137,13.553205
2.0,255,17.483819
1.0,176,20.124842
2.0,216,23.503935
0.0,139,25.668164
0.0,127,27.649238
0.0,132,29.623828
1.0,174,32.296771
0.0,134,34.259066
0.0,133,36.231113
2.0,211,39.330759
1.0,176,42.028196
0.0,140,44.048862
1.0,153,46.4074
1.0,162,48.782
1.0,173,51.416434
2.0,212,54.525784
3.0,282,58.717044
2.0,206,61.804244
1.0,157,64.199036
0.0,136,66.236307
0.0,142,68.313094
2.0,225,71.667917
0.0,139,73.763722
0.0,133,75.745919
0.0,139,77.787376
4.0,306,82.277671
2.0,199,85.527623
0.0,132,87.536475
8.0,363,92.987194
0.0,141,95.079697
2.0,208,98.213171
0.0,137,100.263537
2.0,205,103.34623
0.0,134,105.358793
0.0,132,107.37236
1.0,163,109.832949
0.0,144,111.999745
2.0,214,115.222627
0.0,139,117.33444
1.0,185,120.129873
1.0,172,122.644781
0.0,171,125.181064
1.0,175,127.79603
4.0,311,132.522718
0.0,131,134.538476
2.0,248,138.223771
3.0,267,142.068129
0.0,139,144.138255
0.0,129,146.071111
1.0,162,148.50051
1.0,173,151.095315
0.0,128,152.976692
1.0,175,155.573677
5.0,345,160.762309
3.0,270,164.797476
1.0,177,167.448586
0.0,145,169.647701
0.0,142,171.76914
0.0,150,174.024148
1.0,190,176.852462
3.0,251,180.613491
4.0,303,185.109049
0.0,140,187.203584
0.0,129,189.116014
4.0,309,193.723248
0.0,138,195.794616
2.0,208,198.937902
0.0,138,201.034407
0.0,144,203.262889
0.0,147,205.544008
0.0,138,207.63156
8.0,503,214.887216
2.0,212,217.914781
0.0,151,220.643394
9.0,414,227.762667
3.0,246,231.545911
4.0,297,235.917449
0.0,131,237.786795
6.0,380,243.447971
0.0,127,245.490801
0.0,133,247.449926
0.0,124,249.465506
0.0,133,251.369605
0.0,139,253.414698
9.0,421,259.680737
0.0,132,261.591101
4.0,306,266.122516
8.0,510,274.205584
5.0,356,279.38866
9.0,408,285.994957
0.0,137,288.08826
5.0,361,293.36504
2.0,200,296.375661
3.0,254,300.146613
2.0,197,303.108273
1.0,178,305.864787
1.0,181,308.4873
0.0,134,310.412769
0.0,132,312.367095
4.0,296,316.99773
0.0,135,319.112877
9.0,409,325.263018
0.0,126,327.149907
0.0,127,329.010238
3.0,231,332.473385
0.0,134,334.45654
0.0,137,336.50752
0.0,132,338.422336
2.0,197,341.341495
2.0,210,344.523667
0.0,124,346.364941
0.0,126,348.202707
3.0,255,352.30339
5.0,359,357.827347
2.0,200,360.732298
3.0,276,364.796723
1.0,157,367.052008
0.0,135,369.019097
0.0,124,371.061833
9.0,417,377.099108
2.0,201,380.101617
0.0,136,382.105469
0.0,135,384.044197
4.0,300,388.404995
4.0,322,393.20916
0.0,126,395.140043
0.0,129,397.021858
0.0,131,399.095611
1.0,163,401.791674
2.0,197,404.833709
4.0,302,409.495557
0.0,139,411.519671
5.0,329,416.332776
8.0,482,423.408469
1.0,157,425.95954
2.0,207,429.201769
0.0,130,431.311303
0.0,125,433.320471
1.0,159,435.9922
3.0,233,439.592001
2.0,203,442.562156
2.0,230,445.873555
4.0,297,450.597631
3.0,249,454.3492
0.0,125,456.157064
0.0,133,458.122593
4.0,304,469.664904
2.0,202,472.775772
1.0,154,475.074736
0.0,127,477.362714
5.0,353,482.879235
4.0,304,487.46318
1.0,173,489.949256
3.0,248,493.594289
0.0,133,495.49948
2.0,204,498.479059
3.0,256,502.109222
0.0,128,503.98613
7.0,451,510.534085
1.0,161,512.846203
2.0,199,515.862317
9.0,409,522.596467
1.0,186,532.295663
4.0,307,537.071727
5.0,353,542.251788
0.0,127,544.118994
0.0,127,545.977307
3.0,234,549.368247
2.0,213,552.446444
0.0,127,554.489489
0.0,135,557.000884
3.0,235,560.91016
1.0,158,563.362137
5.0,358,568.590434
1.0,159,570.951994
0.0,126,572.906164
6.0,407,586.015036
2.0,202,589.074384
1.0,154,591.237095
1.0,167,593.672582
2.0,210,596.737857
3.0,232,600.404763
2.0,219,603.723761
4.0,263,614.828582
1.0,155,618.427623
1.0,166,622.37587
5.0,350,631.438957
5.0,322,639.839525
5.0,355,648.074913
2.0,211,653.327758
0.0,125,656.55877
1.0,152,660.286228
1.0,156,664.050626
5.0,358,672.767539
4.0,298,679.895203
2.0,205,684.773351
2.0,184,689.187342
4.0,278,695.538062
2.0,214,700.594631
3.0,260,706.718731
4.0,301,713.785495
3.0,237,719.265877
5.0,377,727.836801
4.0,280,734.350565
0.0,128,737.308684
1.0,157,740.989996
0.0,131,744.064734
2.0,203,748.864954
9.0,411,758.344383
4.0,300,765.398942
2.0,200,770.010989
1.0,152,773.549615
1.0,172,777.498566
1.0,162,781.222349
8.0,337,788.91732
3.0,232,794.325152
1.0,156,797.916707
2.0,207,802.677273
0.0,123,805.482679
3.0,233,810.946326
3.0,243,816.5134
2.0,204,821.413459
2.0,190,825.831617
2.0,214,830.706855
5.0,354,838.866799
1.0,174,842.92345
1.0,158,846.601823
3.0,272,852.968128
2.0,182,857.25288
1.0,173,861.27454
4.0,296,868.034709
2.0,204,872.726619
5.0,351,880.882442
2.0,200,885.525737
0.0,126,888.492851
5.0,349,896.549435
0.0,125,899.46996
1.0,175,903.578607
1.0,154,907.168904
3.0,247,912.943646
5.0,351,920.955231
1.0,159,925.016083
1.0,175,929.367683
4.0,269,935.659598
3.0,269,942.481655
6.0,405,952.234119
5.0,350,960.62277
4.0,319,968.151495
6.0,420,977.96602
4.0,300,984.881513
3.0,240,990.436685
2.0,183,994.72593
2.0,201,999.37704
1.0,161,1003.129508
2.0,211,1008.163676
0.0,127,1011.089698
1.0,155,1014.738353
9.0,405,1024.074612
12.0,535,1036.494947
3.0,249,1042.324195
3.0,271,1048.627046
2.0,183,1052.808443
1.0,159,1056.415392
2.0,223,1061.581726
5.0,295,1068.449328
2.0,197,1072.974998
0.0,123,1075.792622
9.0,406,1085.154145
3.0,265,1091.338069
3.0,250,1097.122898
7.0,421,1106.970596
3.0,215,1111.886095
8.0,455,1122.590092
8.0,354,1130.776722
1.0,158,1134.522271
2.0,188,1138.993881
3.0,236,1144.437026
2.0,226,1149.686734
4.0,281,1156.097079
2.0,205,1160.91655
6.0,377,1169.643856
4.0,262,1175.76065
2.0,209,1180.514312
4.0,268,1186.728331
0.0,134,1189.903659
2.0,200,1194.525837
3.0,216,1199.59706
2.0,184,1203.999897
4.0,251,1209.828446
5.0,363,1218.29436
