# {"t_start": 1541657710.5612426, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
3.0,231,12.108123
4.0,292,16.469426
0.0,142,18.716
1.0,158,21.111674
2.0,201,24.218772
1.0,155,26.599696
1.0,184,29.419975
0.0,133,31.496797
2.0,203,34.495709
0.0,133,36.47435
4.0,258,40.267121
0.0,132,42.309072
1.0,190,45.093729
1.0,198,48.06661
2.0,235,51.616223
0.0,126,53.479438
2.0,216,56.651867
1.0,182,59.36576
4.0,295,63.820257
0.0,134,65.82134
1.0,191,68.650415
2.0,228,72.043774
1.0,170,74.634027
0.0,137,76.651871
2.0,188,79.406224
5.0,319,84.243965
0.0,134,86.432105
0.0,134,88.426663
2.0,204,91.474432
0.0,133,93.494754
0.0,134,95.489909
1.0,153,97.787592
0.0,144,99.956306
0.0,146,102.178777
0.0,141,104.278438
0.0,127,106.190584
0.0,138,108.275649
2.0,209,111.403189
1.0,186,114.203484
0.0,149,116.449448
0.0,137,118.53166
4.0,303,123.017599
2.0,236,126.55451
0.0,136,128.610416
2.0,209,131.731569
0.0,141,133.91856
3.0,294,138.320097
1.0,195,141.129776
2.0,203,144.104417
0.0,135,146.135664
2.0,189,148.986757
2.0,230,152.373398
4.0,327,157.248537
1.0,190,160.101904
0.0,149,162.359763
1.0,172,164.92538
0.0,129,166.853438
0.0,135,168.907406
0.0,137,170.933547
4.0,322,175.754942
2.0,224,179.094971
1.0,157,181.467841
3.0,264,185.408026
5.0,357,190.760079
0.0,130,192.682232
0.0,132,194.666847
9.0,414,200.852638
9.0,396,206.94528
0.0,136,209.028353
2.0,225,212.213716
0.0,136,214.20188
0.0,140,216.175669
2.0,207,219.395142
4.0,289,224.684057
0.0,128,226.751346
0.0,140,228.97152
5.0,372,234.554501
0.0,134,236.509309
0.0,138,238.459146
2.0,211,241.616816
2.0,210,244.898863
0.0,135,246.87728
4.0,319,251.756537
2.0,223,255.01999
2.0,203,258.033174
0.0,126,259.93812
5.0,359,265.202706
0.0,141,267.388981
0.0,129,269.547442
0.0,140,271.855503
2.0,220,275.056409
0.0,132,276.969408
5.0,358,282.744517
0.0,129,284.715687
3.0,263,288.637732
5.0,357,293.907379
5.0,356,299.12269
3.0,252,303.000705
6.0,377,308.647539
