# {"t_start": 1541657710.5262067, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,138,10.652221
4.0,309,15.34131
1.0,157,17.807503
2.0,190,20.66749
1.0,171,23.329944
3.0,249,27.168839
2.0,205,30.348143
0.0,138,32.445237
0.0,135,34.431798
1.0,166,36.89667
1.0,183,39.569052
3.0,267,43.583473
1.0,155,45.907157
0.0,150,48.156067
2.0,232,51.651401
0.0,134,53.627688
2.0,203,56.607332
2.0,229,60.047816
1.0,166,62.513364
1.0,183,65.273522
0.0,131,67.241478
0.0,138,69.296736
1.0,193,72.158954
1.0,152,74.474707
1.0,182,77.16283
3.0,256,80.890745
3.0,214,84.190624
0.0,135,86.405783
0.0,123,88.216109
0.0,136,90.248316
1.0,164,92.718371
1.0,185,95.504822
1.0,166,98.00504
2.0,232,101.470781
10.0,464,108.495824
0.0,138,110.557272
4.0,304,115.115937
3.0,261,119.08029
0.0,146,121.236128
0.0,131,123.180218
1.0,190,126.02786
1.0,172,128.613081
0.0,140,130.691799
1.0,174,133.370941
2.0,210,136.530802
0.0,146,138.732211
1.0,191,141.443974
0.0,135,143.430601
2.0,207,146.524911
0.0,139,148.600108
1.0,182,151.351247
0.0,135,153.340336
1.0,178,155.976719
0.0,142,158.089571
2.0,232,161.588459
2.0,207,164.68514
3.0,266,168.693744
1.0,185,171.471664
4.0,299,175.921108
1.0,185,178.667247
1.0,195,181.620164
0.0,133,183.586761
3.0,266,187.578329
1.0,163,189.991722
9.0,426,196.356637
0.0,141,198.450078
0.0,146,200.690531
1.0,185,203.556094
5.0,357,208.996408
0.0,137,210.93395
0.0,147,213.057579
0.0,131,214.928871
2.0,212,217.946657
4.0,303,223.549303
2.0,207,226.905877
0.0,133,229.024142
0.0,131,231.01325
5.0,356,236.273044
1.0,171,238.718055
4.0,303,243.209439
0.0,139,245.482372
0.0,139,247.534104
0.0,135,249.726923
0.0,145,251.808816
2.0,198,254.691508
0.0,127,256.596558
