# {"t_start": 1541657710.5817688, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,200,11.576196
0.0,141,13.69269
1.0,220,17.070477
5.0,342,22.344297
2.0,191,25.275049
0.0,129,27.277678
3.0,259,31.267735
1.0,167,33.749432
0.0,125,35.593378
0.0,140,37.630202
1.0,175,40.22075
1.0,181,42.970139
0.0,134,44.934452
0.0,136,47.00268
0.0,137,49.05922
4.0,343,54.161083
2.0,225,57.506041
0.0,132,59.472776
1.0,177,62.115166
1.0,154,64.461635
1.0,175,67.065466
0.0,132,69.03189
1.0,159,71.378811
0.0,134,73.415838
0.0,131,75.363078
3.0,269,79.313166
0.0,132,81.262918
3.0,247,85.129423
2.0,207,88.318202
2.0,191,91.177207
2.0,190,94.051301
0.0,154,96.352397
0.0,129,98.289349
2.0,220,101.602045
1.0,176,104.261667
2.0,200,107.255508
1.0,182,110.02616
0.0,139,112.104551
0.0,128,114.014879
2.0,224,117.42697
2.0,236,120.945919
6.0,404,126.962861
1.0,161,129.375664
4.0,313,134.15566
0.0,130,136.103867
2.0,242,139.65555
1.0,171,142.105868
0.0,142,144.244689
1.0,184,146.993538
3.0,230,150.444781
2.0,225,153.768672
1.0,157,156.112664
2.0,219,159.377226
0.0,131,161.356089
0.0,146,163.539127
2.0,205,166.603043
0.0,149,168.87077
3.0,254,172.662654
4.0,313,177.340816
1.0,199,180.314554
1.0,170,182.860724
4.0,305,187.415777
0.0,142,189.520562
0.0,144,191.704908
1.0,172,194.242033
12.0,452,201.048752
2.0,198,204.143698
2.0,218,207.442283
4.0,303,211.816222
0.0,130,213.739433
0.0,131,215.570855
3.0,267,219.743626
9.0,412,226.976284
2.0,207,230.224062
0.0,133,232.226219
2.0,200,235.176582
0.0,131,237.043392
0.0,128,238.908653
0.0,124,240.71568
0.0,135,242.703679
4.0,287,247.165917
0.0,140,249.430162
9.0,412,255.45292
0.0,124,257.298184
0.0,147,259.471352
5.0,362,264.817323
0.0,143,267.017949
1.0,179,269.979488
3.0,247,273.793187
0.0,139,275.794498
2.0,215,278.917553
0.0,140,281.337296
2.0,207,284.621971
4.0,305,289.184325
0.0,137,291.192794
5.0,350,296.399063
2.0,213,299.460354
0.0,124,301.466647
