# {"t_start": 1541657710.3815615, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
4.0,301,13.28847
2.0,226,16.727498
3.0,272,20.893591
2.0,193,23.906739
3.0,245,27.701539
0.0,130,29.66247
0.0,131,31.701726
5.0,359,37.026986
0.0,137,39.008348
1.0,190,41.911203
3.0,270,45.916331
1.0,177,48.577415
0.0,135,50.576796
0.0,139,52.680037
3.0,278,56.766032
2.0,209,59.892662
2.0,227,63.314572
1.0,192,66.195152
4.0,280,70.341996
0.0,130,72.284649
1.0,178,74.976206
1.0,162,77.381489
2.0,207,80.393901
0.0,138,82.423359
1.0,184,85.375525
1.0,159,87.848664
2.0,203,90.895252
0.0,150,93.148762
1.0,180,95.857735
1.0,151,98.116548
1.0,169,100.643249
0.0,134,102.689971
0.0,131,104.6665
2.0,212,107.826755
0.0,149,110.089181
0.0,154,112.415445
0.0,138,114.464425
3.0,279,118.685966
8.0,364,124.07075
0.0,124,125.953428
2.0,237,129.505275
2.0,203,132.576758
0.0,138,134.707147
1.0,172,137.291786
0.0,133,139.251678
0.0,137,141.207928
4.0,312,145.799567
2.0,204,148.891953
1.0,168,151.407561
2.0,225,154.720816
0.0,123,156.551278
1.0,176,159.172533
2.0,214,162.412333
2.0,208,165.521281
4.0,351,170.776973
2.0,215,174.021385
0.0,140,176.093344
3.0,251,179.854433
2.0,220,183.142494
0.0,134,185.121917
3.0,283,189.346152
1.0,187,192.20165
0.0,141,194.249938
4.0,301,198.752618
5.0,336,203.957816
2.0,213,207.166903
9.0,411,213.160486
2.0,213,216.200131
0.0,129,218.050512
2.0,213,221.822998
0.0,137,224.41996
0.0,136,226.640405
2.0,206,229.902202
2.0,210,233.043491
0.0,125,234.881159
4.0,307,239.335607
3.0,248,242.963251
2.0,231,246.583498
5.0,363,252.101637
0.0,131,254.014426
2.0,204,257.04161
0.0,137,259.082226
0.0,139,261.150438
0.0,134,263.117831
0.0,132,265.055216
0.0,142,267.253572
0.0,132,269.411537
2.0,207,272.80774
0.0,131,274.656339
9.0,408,280.701591
0.0,135,283.138102
4.0,295,287.582546
2.0,197,290.47107
2.0,206,293.500445
0.0,128,295.460276
10.0,438,301.98572
0.0,136,303.981883
0.0,146,306.303091
0.0,126,308.149857
3.0,246,311.659926
0.0,134,313.673534
2.0,198,316.834093
0.0,133,318.878796
3.0,246,322.631102
2.0,200,325.638829
2.0,203,328.626976
0.0,131,330.577085
0.0,133,332.573872
5.0,357,337.885911
0.0,132,339.77779
0.0,135,341.82986
2.0,200,344.848047
2.0,202,347.823434
7.0,446,354.893171
0.0,125,356.818506
