# {"t_start": 1541657710.5368083, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,207,11.745942
0.0,140,13.82433
2.0,244,17.574181
2.0,223,20.99641
1.0,197,24.050095
0.0,127,26.006945
1.0,181,28.782437
1.0,183,31.608557
0.0,136,33.628839
1.0,157,35.935665
2.0,207,38.983869
2.0,185,41.813631
1.0,171,44.296875
1.0,158,46.726581
3.0,296,51.137326
3.0,278,55.243156
3.0,255,59.034442
3.0,253,62.815491
0.0,127,64.741454
1.0,167,67.246224
3.0,250,70.947434
2.0,229,74.422094
1.0,155,76.716381
3.0,287,80.900545
1.0,191,83.794251
0.0,134,86.025954
1.0,159,88.420069
3.0,276,92.536086
2.0,202,95.588604
0.0,131,97.564082
0.0,130,99.521879
1.0,163,102.004029
6.0,423,108.351003
10.0,453,115.138543
1.0,175,117.796315
0.0,132,119.806797
5.0,354,125.046587
0.0,140,127.144799
0.0,136,129.182468
0.0,134,131.192673
0.0,150,133.495354
4.0,279,137.694741
0.0,157,139.974558
3.0,280,144.050417
1.0,193,146.950289
3.0,260,150.857676
3.0,242,154.420951
2.0,231,157.87062
1.0,183,160.621342
0.0,143,162.793338
5.0,322,167.60543
0.0,134,169.629012
0.0,161,172.034998
0.0,135,174.067578
3.0,251,177.812762
5.0,347,182.98847
1.0,160,185.37716
0.0,132,187.347394
4.0,298,191.829639
1.0,173,194.383439
0.0,130,196.308217
4.0,307,200.939927
0.0,143,203.11986
9.0,407,209.364882
2.0,228,212.60065
0.0,143,214.655899
0.0,136,216.59988
2.0,201,219.831506
3.0,259,224.573714
5.0,350,230.145963
3.0,252,233.889713
0.0,136,235.887595
2.0,202,238.786953
2.0,200,241.772946
3.0,247,245.6301
4.0,314,250.445141
0.0,141,252.452181
4.0,321,257.209003
0.0,134,259.19355
0.0,128,261.111087
2.0,207,264.138831
4.0,302,268.86507
0.0,142,271.225467
0.0,134,273.26331
0.0,132,275.157927
2.0,209,278.184114
0.0,143,280.293396
0.0,132,282.768292
2.0,203,285.834375
0.0,128,287.786845
0.0,131,289.691805
2.0,201,292.640886
0.0,127,294.545246
0.0,132,296.522189
4.0,296,300.956212
0.0,136,302.974576
0.0,128,304.921503
2.0,198,307.91986
5.0,353,313.049399
0.0,143,315.32319
2.0,204,318.448633
2.0,199,321.516705
0.0,136,323.561557
3.0,249,327.307471
3.0,249,330.990963
1.0,180,333.65833
0.0,133,335.673697
0.0,125,337.510503
0.0,131,339.39007
1.0,161,341.821219
0.0,133,343.823622
0.0,127,345.748226
2.0,205,348.734853
4.0,305,353.671021
3.0,228,357.185808
2.0,205,360.129577
5.0,353,365.344526
7.0,426,371.817438
2.0,210,374.763828
3.0,266,378.667826
11.0,501,386.017042
0.0,125,387.797308
0.0,126,389.643561
0.0,128,391.595941
2.0,205,394.695694
3.0,234,398.192476
2.0,206,401.618811
0.0,131,403.505544
3.0,252,407.652875
9.0,410,413.620226
3.0,248,417.238378
1.0,160,419.58318
0.0,129,421.449465
2.0,204,424.585373
0.0,128,426.668087
2.0,202,429.847757
0.0,125,431.867969
0.0,135,434.06349
0.0,130,436.272535
3.0,250,440.05359
5.0,357,445.245538
0.0,133,447.175663
9.0,424,453.85992
4.0,297,458.20736
0.0,132,465.969318
0.0,143,469.333495
4.0,300,473.90725
0.0,132,476.078431
10.0,436,483.02461
0.0,137,485.066212
0.0,129,487.028717
0.0,126,488.864274
8.0,334,493.754866
1.0,155,495.953791
1.0,172,498.483691
4.0,301,502.76424
