# {"t_start": 1541657710.623211, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,219,11.859254
0.0,140,13.918928
0.0,132,15.907022
0.0,134,18.017055
0.0,147,20.255049
1.0,155,22.662366
1.0,160,25.128523
0.0,134,27.195775
1.0,176,29.900404
0.0,149,32.176949
0.0,155,34.484389
3.0,261,38.302031
1.0,186,41.119567
3.0,231,44.509049
0.0,136,46.61575
4.0,313,51.301938
2.0,202,54.270859
4.0,257,58.088507
0.0,131,60.05877
2.0,205,63.141828
2.0,200,66.142364
2.0,202,69.137419
1.0,187,71.908304
0.0,129,73.870326
2.0,240,77.425864
0.0,128,79.294155
3.0,256,83.04137
0.0,145,85.49242
0.0,129,87.452567
1.0,189,90.297707
0.0,134,92.28753
1.0,163,94.743603
0.0,134,96.756913
0.0,130,98.711733
2.0,209,101.902329
0.0,150,104.107981
4.0,319,108.936864
0.0,129,110.871013
1.0,153,113.15327
3.0,250,116.936383
1.0,163,119.422954
4.0,310,123.989747
0.0,146,126.177075
0.0,130,128.12025
1.0,191,130.996758
2.0,217,134.330167
0.0,140,136.419189
0.0,147,138.631083
4.0,314,143.152592
1.0,167,145.649677
0.0,153,147.947292
3.0,249,151.671585
4.0,272,155.701861
1.0,176,158.330855
0.0,149,160.566736
0.0,139,162.67964
3.0,282,166.881197
6.0,425,173.268718
2.0,212,176.431524
3.0,254,180.220502
0.0,156,182.553885
0.0,144,184.692704
1.0,161,187.110572
0.0,139,189.170425
0.0,149,191.426234
2.0,200,194.408972
0.0,130,196.343354
0.0,153,198.648153
0.0,147,200.85673
0.0,147,203.107791
0.0,128,205.090163
2.0,208,208.287848
3.0,260,211.996947
0.0,146,214.143552
0.0,145,216.18873
2.0,205,219.404893
0.0,128,221.731328
9.0,428,228.952089
0.0,131,230.943495
2.0,205,233.977114
2.0,205,236.953291
0.0,128,238.809553
0.0,130,240.733252
0.0,130,242.627841
3.0,230,246.252444
0.0,125,248.171385
0.0,129,250.22313
2.0,211,253.244624
6.0,411,259.34157
10.0,453,266.024794
5.0,367,272.047125
2.0,200,274.935359
0.0,149,277.121396
0.0,139,279.122791
2.0,211,282.796336
1.0,155,285.119155
5.0,352,290.339845
2.0,197,293.246607
2.0,202,296.279346
3.0,257,300.100489
0.0,139,302.206643
2.0,184,304.992265
0.0,130,307.008096
3.0,254,310.626893
2.0,204,313.65633
2.0,201,316.874923
0.0,124,318.78021
5.0,351,324.097865
0.0,137,326.139635
0.0,128,328.046932
0.0,129,329.946039
2.0,204,333.015037
5.0,353,338.230702
5.0,351,343.478415
2.0,198,346.427505
0.0,133,348.386388
0.0,131,350.491902
0.0,126,352.527486
2.0,204,355.676087
0.0,126,357.610964
2.0,202,360.525323
2.0,208,363.655469
4.0,297,367.91951
2.0,201,371.05935
4.0,302,375.429545
2.0,207,378.465929
2.0,199,381.421952
2.0,210,384.487265
0.0,134,386.413249
1.0,178,389.00843
2.0,202,392.060138
0.0,130,394.00569
0.0,127,395.892372
4.0,298,400.682485
2.0,208,403.799477
1.0,182,406.758592
2.0,209,409.887013
3.0,252,413.578503
5.0,331,418.449235
0.0,130,420.320394
9.0,382,426.225549
1.0,161,428.724354
3.0,258,432.856695
4.0,327,438.270492
1.0,154,440.484539
0.0,127,442.33526
0.0,124,444.104702
4.0,320,448.810451
0.0,128,451.158712
2.0,202,454.106739
3.0,231,457.487139
3.0,250,468.160054
1.0,177,470.924929
1.0,177,473.597831
3.0,228,477.372578
3.0,249,481.286652
2.0,199,484.309094
9.0,407,490.337619
1.0,157,492.669851
5.0,315,497.173663
3.0,278,501.16146
