# {"t_start": 1541657710.53703, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,138,10.643752
0.0,151,12.932745
3.0,246,16.704318
0.0,150,19.045516
0.0,152,21.359915
3.0,219,24.731308
0.0,132,26.754748
3.0,239,30.462417
0.0,144,32.639337
1.0,181,35.311339
4.0,265,39.207667
1.0,175,41.902184
1.0,169,44.351114
0.0,142,46.525044
1.0,186,49.289459
0.0,131,51.265524
0.0,132,53.205182
4.0,325,58.017071
2.0,199,61.00367
1.0,153,63.314801
0.0,130,65.24515
2.0,248,68.944458
1.0,155,71.249089
1.0,157,73.618216
1.0,180,76.302993
0.0,124,78.12189
3.0,246,81.736694
0.0,148,84.021811
0.0,135,86.262696
2.0,212,89.438185
1.0,185,92.179437
2.0,206,95.278539
2.0,225,98.652136
1.0,175,101.270252
0.0,128,103.226519
1.0,178,105.918621
2.0,216,109.166349
0.0,134,111.187368
2.0,232,114.660372
0.0,150,116.934369
2.0,201,119.987957
3.0,276,124.020443
2.0,203,127.09329
3.0,290,131.429562
2.0,207,134.633646
9.0,384,140.292834
2.0,208,143.318315
2.0,250,147.074755
2.0,210,150.222877
1.0,170,152.715261
1.0,177,155.339882
1.0,200,158.337074
0.0,136,160.385772
0.0,140,162.496104
1.0,203,165.524814
13.0,440,172.152268
0.0,141,174.262805
0.0,143,176.382308
3.0,281,180.58703
2.0,187,183.366739
1.0,157,185.742017
3.0,259,189.591386
0.0,162,192.051804
0.0,134,194.00207
2.0,206,197.092191
3.0,276,201.261569
0.0,131,203.265129
0.0,138,205.425248
1.0,156,207.792611
2.0,208,210.815692
2.0,199,213.696042
2.0,200,216.532091
3.0,254,220.721109
0.0,134,223.281989
0.0,133,225.485429
0.0,149,227.881519
5.0,361,233.379787
2.0,214,236.504699
2.0,204,239.459918
9.0,409,245.713638
0.0,134,247.721912
0.0,133,249.854813
2.0,203,252.758878
0.0,138,254.796005
0.0,133,256.770837
0.0,125,258.609156
0.0,126,260.50507
0.0,135,262.47707
0.0,126,264.345291
2.0,210,267.543468
0.0,141,269.906708
1.0,161,272.538213
0.0,133,274.433848
0.0,133,276.356725
0.0,137,278.338369
6.0,391,284.683295
2.0,199,287.700439
0.0,132,289.622469
5.0,344,294.723616
0.0,129,296.644335
2.0,198,299.471128
5.0,353,304.904177
0.0,126,306.857098
0.0,127,308.671126
0.0,134,310.590625
0.0,125,312.435699
0.0,127,314.372822
2.0,200,317.536413
2.0,204,320.724816
4.0,295,325.148731
5.0,352,330.350698
0.0,122,332.168924
0.0,127,334.058673
2.0,202,337.091514
0.0,147,339.217281
0.0,123,341.012024
5.0,353,346.361797
5.0,353,351.823606
0.0,130,353.951268
0.0,127,355.847279
2.0,203,358.824338
4.0,296,363.270891
4.0,311,367.743562
0.0,132,369.698771
3.0,271,373.819161
3.0,230,377.135338
5.0,357,382.452258
3.0,247,386.017785
0.0,130,387.882379
8.0,460,394.797935
4.0,299,399.36337
3.0,250,403.268111
2.0,201,406.545669
9.0,404,412.566139
1.0,172,415.050012
5.0,363,420.378314
0.0,126,422.219328
0.0,130,424.214191
2.0,204,427.511327
0.0,128,429.484324
0.0,125,431.519778
4.0,303,436.577209
0.0,128,438.547148
0.0,134,440.473054
1.0,176,443.046232
2.0,208,446.055817
