# {"t_start": 1541657710.61725, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,180,11.230344
0.0,139,13.318022
0.0,127,15.233497
1.0,194,18.251823
2.0,222,21.677619
1.0,192,24.605991
2.0,195,27.668408
2.0,205,30.79948
1.0,154,33.125134
1.0,159,35.460122
1.0,175,38.008259
5.0,354,43.325747
0.0,123,45.150721
0.0,137,47.22778
0.0,128,49.126356
2.0,245,52.78652
0.0,129,54.692684
4.0,311,59.311681
2.0,222,62.631328
2.0,211,65.833209
5.0,343,70.912321
0.0,140,72.996661
2.0,204,76.066118
0.0,133,78.02828
0.0,143,80.110209
0.0,141,82.194722
2.0,237,86.031646
2.0,219,89.329519
0.0,137,91.348428
0.0,127,93.288099
0.0,134,95.2799
6.0,419,101.591338
3.0,227,104.993034
3.0,259,108.895875
0.0,155,111.230178
0.0,147,113.430874
5.0,353,118.763232
0.0,134,120.768222
0.0,149,122.962976
1.0,195,125.887251
0.0,143,128.023432
3.0,228,131.446448
4.0,301,136.040114
1.0,169,138.576122
0.0,135,140.509187
0.0,127,142.333519
3.0,307,146.923177
0.0,130,148.879139
0.0,129,150.820814
1.0,161,153.189101
2.0,213,156.357943
0.0,127,158.236907
0.0,145,160.424101
0.0,151,162.716707
2.0,209,165.826608
0.0,149,168.068394
2.0,194,170.979719
0.0,131,172.956756
1.0,166,175.421259
0.0,138,177.499159
0.0,124,179.326404
2.0,218,182.592873
3.0,265,186.556782
0.0,132,188.507083
0.0,143,190.687916
2.0,216,193.860275
2.0,205,196.949892
1.0,164,199.427253
2.0,210,202.619702
0.0,133,204.693748
0.0,144,206.857968
0.0,148,209.122755
0.0,146,211.181691
7.0,326,215.839704
2.0,206,218.980879
0.0,130,221.333174
0.0,123,223.731548
0.0,138,226.015582
0.0,139,228.215166
3.0,247,231.980719
5.0,354,237.145566
2.0,207,240.132883
3.0,276,244.392043
0.0,135,246.429853
0.0,134,248.491698
2.0,211,251.669162
2.0,216,254.847415
2.0,209,257.938462
6.0,392,263.737918
1.0,179,266.430348
0.0,134,268.617059
0.0,131,270.825917
2.0,200,273.852786
0.0,136,275.803441
1.0,180,278.418114
3.0,259,282.765834
0.0,135,284.807725
0.0,133,286.793762
0.0,139,288.865653
0.0,130,290.76293
0.0,135,292.759253
0.0,134,294.788673
0.0,128,296.674504
0.0,137,298.630409
2.0,213,301.917035
4.0,307,306.584714
0.0,129,308.442124
2.0,200,311.320409
2.0,218,314.704525
0.0,134,316.809698
4.0,310,321.553399
3.0,252,325.33772
0.0,134,327.334936
3.0,257,331.162593
0.0,128,333.06452
5.0,362,338.410251
4.0,297,342.873741
0.0,124,344.71819
0.0,126,346.594728
