# {"t_start": 1541107204.9691525, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,26.66563
0.0,127,28.264196
1.0,171,30.47632
2.0,200,32.977684
3.0,255,36.302237
2.0,202,38.909019
1.0,173,41.173993
8.0,374,46.064054
0.0,125,47.609862
5.0,331,51.988474
0.0,125,53.492572
4.0,279,57.462653
0.0,127,59.674466
4.0,299,65.082998
2.0,201,68.112373
5.0,350,73.328737
0.0,125,75.098595
0.0,127,76.822632
0.0,127,79.598794
4.0,297,84.575051
0.0,129,86.158503
2.0,202,88.778174
4.0,301,92.673426
2.0,202,95.267714
0.0,129,96.840273
1.0,173,98.955343
1.0,175,101.100756
1.0,178,103.388863
0.0,129,104.996272
9.0,382,110.015703
0.0,129,111.558544
0.0,127,113.069228
4.0,298,116.918761
0.0,127,118.41713
0.0,125,119.897842
0.0,127,121.43178
2.0,202,123.924471
0.0,125,125.419172
5.0,350,129.915509
5.0,348,134.463092
0.0,127,135.990549
0.0,127,137.513266
1.0,157,139.453886
0.0,129,140.95717
2.0,202,143.547559
4.0,280,147.066272
11.0,465,153.204559
10.0,454,159.178314
4.0,299,162.962893
9.0,404,168.251511
5.0,352,172.761847
0.0,129,174.316995
4.0,297,178.088465
0.0,127,179.619005
0.0,125,181.104502
0.0,129,182.646574
1.0,155,184.52827
1.0,177,186.746751
0.0,129,188.267947
3.0,250,191.390894
7.0,449,197.254572
0.0,127,198.77776
5.0,350,203.1842
3.0,232,206.106911
1.0,157,207.983679
1.0,176,210.126576
0.0,129,211.645807
0.0,129,213.218555
0.0,129,214.725467
0.0,127,216.223588
4.0,319,220.271558
11.0,482,226.389634
8.0,375,231.093138
6.0,400,236.047153
3.0,248,239.060697
14.0,503,245.397455
7.0,320,249.489691
4.0,277,252.846432
7.0,380,257.57993
0.0,129,259.106764
7.0,379,263.808402
10.0,432,269.111143
11.0,482,275.114529
2.0,226,277.875319
8.0,441,283.336786
11.0,472,289.186606
8.0,474,295.024439
11.0,616,302.644934
11.0,465,308.322515
5.0,300,311.910359
12.0,560,318.753019
13.0,649,326.753304
25.0,713,336.84175
17.0,436,342.74482
16.0,468,348.921357
19.0,433,354.294264
7.0,373,358.78159
21.0,714,367.529421
26.0,931,378.936124
20.0,839,389.273004
24.0,841,399.530812
19.0,548,406.18682
22.0,516,412.481342
41.0,859,423.015947
34.0,840,433.262556
29.0,848,445.452059
45.0,1190,460.129385
34.0,929,471.395398
17.0,741,480.28664
14.0,599,488.32288
31.0,771,497.79286
18.0,805,508.451824
17.0,683,516.967845
29.0,923,528.334815
58.0,1367,545.008238
61.0,1331,561.212863
106.0,1534,579.923298
44.0,1116,593.462674
74.0,1601,612.974074
62.0,1469,630.712472
91.0,1755,652.098317
225.0,1610,671.644253
65.0,1404,688.783697
95.0,1580,707.951928
208.0,1786,729.630478
161.0,1505,749.771002
148.0,1904,775.383659
119.0,1695,795.998665
252.0,1564,814.860296
65.0,1199,829.346393
42.0,878,839.965997
208.0,1682,860.463328
92.0,1204,875.042014
196.0,1868,897.721092
167.0,1419,914.880115
354.0,1778,936.4576
335.0,1901,959.398425
232.0,2010,983.705333
398.0,2156,1009.806452
342.0,1774,1031.241427
73.0,1226,1046.016784
245.0,1906,1068.993338
338.0,1789,1090.465801
309.0,1360,1107.467854
386.0,2330,1135.64074
159.0,1830,1157.701566
