# {"t_start": 1541107204.915611, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,26.749809
2.0,223,29.713968
3.0,246,32.847178
0.0,129,34.417809
0.0,125,35.974574
3.0,270,39.5167
0.0,127,41.140409
2.0,202,43.707271
2.0,183,46.001957
0.0,125,47.534567
1.0,157,49.525119
0.0,127,51.077438
4.0,318,55.237301
4.0,302,60.366203
3.0,232,64.540247
1.0,155,66.872065
0.0,129,68.728722
0.0,127,70.496659
0.0,127,72.211583
2.0,204,75.206417
0.0,127,76.939294
7.0,305,83.091258
1.0,155,85.15658
1.0,177,87.446491
1.0,173,89.644628
1.0,153,91.504808
0.0,127,93.054501
2.0,198,95.600164
0.0,129,97.154981
2.0,223,99.927172
5.0,370,104.856165
6.0,397,110.091966
9.0,404,115.331145
4.0,275,118.879887
1.0,175,121.014729
4.0,297,124.770888
0.0,129,126.345145
1.0,176,128.46846
2.0,200,130.999012
0.0,125,132.493267
3.0,248,135.678801
5.0,350,140.186921
0.0,127,141.724429
4.0,298,145.531295
0.0,129,147.064621
0.0,127,148.608449
9.0,404,153.917767
0.0,129,155.474801
0.0,127,157.000117
0.0,129,158.585938
2.0,198,161.037498
1.0,174,163.153975
0.0,129,164.719589
0.0,129,166.278406
1.0,176,168.463134
0.0,129,170.023486
2.0,224,172.795297
0.0,129,174.351412
4.0,283,177.930809
7.0,407,183.217136
2.0,203,185.76781
5.0,350,190.256299
1.0,157,192.174489
2.0,221,194.927955
1.0,175,197.103146
0.0,129,198.650881
5.0,350,203.053342
0.0,125,204.53219
0.0,129,206.080199
1.0,157,207.968447
1.0,173,210.077383
1.0,176,212.217864
0.0,129,213.77906
5.0,313,217.750903
3.0,255,220.910624
2.0,227,223.718915
1.0,157,225.585984
9.0,404,230.6674
6.0,378,235.35357
8.0,438,240.789892
6.0,360,245.280332
1.0,155,247.172958
4.0,258,250.397639
5.0,355,254.781411
1.0,157,256.628633
8.0,441,262.219447
5.0,315,266.025582
8.0,497,272.200445
8.0,385,276.915315
5.0,295,280.53772
5.0,311,284.376814
13.0,526,290.875663
3.0,252,293.929854
6.0,345,298.094625
14.0,615,305.702342
8.0,428,310.905145
19.0,700,319.510088
20.0,614,327.082758
11.0,557,335.00173
7.0,406,340.497442
13.0,573,348.220681
27.0,744,357.479655
26.0,673,365.67925
46.0,1034,378.396462
13.0,682,386.758624
27.0,773,396.199521
27.0,882,407.042183
18.0,354,411.272788
23.0,740,420.320592
15.0,684,428.673129
24.0,793,439.042851
64.0,1473,458.390167
25.0,906,469.347054
17.0,764,478.591034
19.0,792,488.936169
48.0,1301,505.801004
35.0,1100,519.574227
45.0,1224,534.583541
71.0,1254,549.859773
80.0,1521,568.35996
35.0,1144,582.328419
55.0,1052,595.081514
31.0,827,605.172519
109.0,1737,626.125175
133.0,1895,649.193796
40.0,767,658.448669
81.0,1468,676.289391
81.0,984,688.24226
39.0,1148,702.068952
58.0,1108,715.544233
85.0,1178,729.761905
28.0,880,740.456013
88.0,1594,763.777563
162.0,1323,780.108912
50.0,985,792.018814
122.0,1735,812.951489
223.0,1849,835.447402
126.0,1749,856.754137
250.0,1816,878.845268
180.0,2145,904.876402
262.0,1738,925.959791
308.0,1550,944.733111
308.0,1849,967.022956
372.0,2069,992.074484
296.0,2027,1016.596105
350.0,1760,1037.819519
354.0,2079,1062.942832
388.0,2753,1096.880571
325.0,2161,1122.888039
336.0,1435,1140.171431
