# {"t_start": 1541657710.6426663, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,228,11.961947
2.0,212,15.099658
0.0,150,17.441832
2.0,207,20.604605
0.0,129,22.621494
0.0,150,24.944788
0.0,125,26.856879
1.0,179,29.596245
2.0,223,33.022918
3.0,236,36.498085
0.0,132,38.422334
0.0,143,40.591865
0.0,147,42.783853
0.0,159,45.149567
1.0,161,47.559238
2.0,204,50.61807
1.0,175,53.23581
0.0,145,55.36549
0.0,139,57.422523
2.0,235,60.944116
0.0,135,62.975105
1.0,177,65.628695
5.0,384,71.3392
0.0,131,73.319165
2.0,207,76.415649
1.0,171,78.905232
0.0,145,81.041949
2.0,202,84.165044
0.0,130,86.295775
0.0,134,88.278134
0.0,137,90.342804
4.0,302,94.854881
1.0,183,97.620884
3.0,251,101.374822
1.0,156,103.717936
2.0,215,106.98414
0.0,125,108.856116
3.0,268,112.885912
1.0,159,115.299246
0.0,131,117.277946
0.0,123,119.134479
0.0,135,121.121579
2.0,207,124.183415
0.0,148,126.40979
0.0,133,128.400141
0.0,149,130.642809
1.0,197,133.662683
3.0,260,137.571365
2.0,210,140.628328
0.0,156,142.880785
3.0,250,146.607403
0.0,131,148.600902
0.0,124,150.46258
1.0,191,153.287195
1.0,164,155.714579
2.0,215,158.918681
2.0,206,162.043859
0.0,142,164.168095
2.0,235,167.680267
2.0,211,170.833695
2.0,204,173.909273
2.0,233,177.396827
0.0,126,179.256014
0.0,126,181.16461
1.0,182,183.867787
2.0,207,186.952489
1.0,154,189.249037
5.0,370,194.789734
1.0,186,197.584337
0.0,135,199.626395
3.0,281,203.95903
4.0,303,208.533862
0.0,132,210.450205
2.0,207,213.424961
4.0,328,218.11173
0.0,162,221.04662
2.0,210,224.862332
2.0,202,228.117357
0.0,141,230.321873
9.0,410,236.35503
2.0,200,239.257947
0.0,126,241.106293
0.0,131,243.0278
0.0,130,245.171969
0.0,137,247.184304
0.0,125,249.20428
9.0,403,255.107318
4.0,303,259.631249
2.0,211,262.729999
5.0,356,268.189044
9.0,409,274.567116
3.0,252,278.21463
0.0,133,280.11863
0.0,133,282.668279
3.0,247,286.397051
0.0,146,288.577091
0.0,124,290.381141
1.0,159,292.734128
1.0,153,295.051659
3.0,255,298.739882
3.0,253,302.602935
3.0,275,306.836191
0.0,144,308.871376
0.0,129,310.739474
2.0,202,313.754503
0.0,128,315.804389
0.0,129,317.793433
0.0,137,319.981496
0.0,128,321.878166
5.0,333,326.872087
0.0,139,328.907001
5.0,367,334.372629
3.0,251,338.088365
0.0,123,339.862107
5.0,350,345.164463
4.0,309,349.810141
3.0,259,354.039239
0.0,126,355.959856
0.0,131,357.884057
8.0,380,363.49806
2.0,201,366.345677
3.0,242,370.03392
5.0,337,374.98705
0.0,128,376.833737
0.0,134,378.832025
2.0,207,381.892857
1.0,176,384.469088
5.0,329,389.236309
0.0,126,391.078652
0.0,133,393.113296
0.0,123,395.000849
2.0,204,398.031452
2.0,206,401.462111
2.0,208,404.660735
12.0,531,412.699153
2.0,205,415.65253
1.0,173,418.243796
4.0,308,422.739124
1.0,185,425.657399
3.0,228,429.252909
0.0,129,431.344747
0.0,136,433.534373
0.0,140,435.867399
2.0,201,439.032724
5.0,352,444.139008
2.0,204,447.123992
3.0,248,451.241226
2.0,223,454.505797
2.0,206,457.519169
2.0,216,467.679914
2.0,200,470.766495
0.0,122,472.61069
4.0,304,477.583652
0.0,124,479.527491
3.0,232,483.141109
0.0,128,485.036092
0.0,135,487.089367
2.0,200,489.986017
3.0,250,493.669594
5.0,353,498.779119
1.0,165,501.06624
2.0,217,504.267452
1.0,171,506.764908
1.0,152,508.93332
3.0,246,512.48979
5.0,347,517.901402
5.0,347,523.763749
9.0,408,536.712329
11.0,506,544.159142
0.0,130,546.047648
0.0,135,547.995658
0.0,125,549.820577
10.0,452,557.140153
3.0,234,561.024181
1.0,172,563.717615
1.0,165,566.077351
0.0,127,567.916661
0.0,124,569.822002
0.0,132,571.735915
1.0,181,574.519958
0.0,135,576.590433
5.0,324,588.418396
6.0,409,594.347744
1.0,162,596.686044
2.0,189,599.660524
0.0,132,601.785413
3.0,216,608.254302
3.0,244,616.301671
3.0,231,621.678501
1.0,168,625.800766
1.0,174,630.462061
