# {"t_start": 1541657710.2633016, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
4.0,315,13.604011
3.0,283,17.979186
1.0,172,20.547432
2.0,227,24.1024
1.0,175,26.796031
3.0,232,30.369359
1.0,167,32.906826
3.0,235,36.368588
1.0,175,38.941694
0.0,127,40.860717
1.0,158,43.231363
0.0,137,45.226766
1.0,157,47.630336
0.0,130,49.579383
9.0,444,56.175265
4.0,299,60.628368
1.0,179,63.307479
0.0,133,65.307325
4.0,322,70.122227
1.0,192,72.964599
0.0,151,75.256764
0.0,129,77.178006
4.0,288,81.386475
0.0,133,83.32129
0.0,143,85.722246
2.0,212,88.952301
0.0,138,91.030812
2.0,232,94.507569
1.0,159,96.894144
0.0,132,98.867882
4.0,293,103.29135
1.0,189,106.126433
9.0,434,112.689953
2.0,234,116.215381
3.0,275,120.38544
2.0,217,123.539072
0.0,156,125.877859
0.0,144,128.027965
3.0,264,131.997209
0.0,128,133.974183
0.0,138,136.059887
0.0,143,138.211972
1.0,179,140.793357
4.0,287,145.02181
0.0,133,146.981885
1.0,185,149.777584
0.0,140,151.861352
1.0,170,154.372392
2.0,228,157.778919
2.0,214,160.990438
3.0,291,165.353562
0.0,152,167.62743
0.0,157,170.008309
1.0,160,172.394241
4.0,307,176.975053
2.0,232,180.450915
1.0,162,182.857825
2.0,220,186.169713
0.0,144,188.313174
0.0,136,190.327571
0.0,140,192.47139
1.0,160,194.832357
0.0,137,196.871887
3.0,249,200.608955
0.0,133,202.641628
2.0,218,206.045406
3.0,267,210.036354
4.0,302,214.364042
3.0,258,218.013851
5.0,359,224.521526
0.0,126,226.59789
10.0,496,234.16048
4.0,323,238.82853
0.0,132,240.778857
3.0,247,244.583484
5.0,329,249.697269
3.0,246,253.255188
0.0,132,255.218156
2.0,203,258.217939
9.0,418,264.40843
2.0,211,267.622798
0.0,132,269.818677
0.0,130,271.975196
0.0,132,273.915703
0.0,134,275.856566
4.0,302,280.212597
0.0,130,282.664748
0.0,140,284.811996
1.0,157,287.186886
0.0,137,289.215713
4.0,303,293.670305
5.0,353,298.855921
2.0,205,302.028109
2.0,206,305.118526
0.0,130,307.147197
2.0,203,310.033829
2.0,202,313.012615
5.0,346,318.400525
3.0,256,322.344038
0.0,126,324.225332
2.0,209,327.364461
0.0,130,329.265663
0.0,125,331.145684
5.0,358,336.466475
1.0,178,339.079027
0.0,128,340.939856
3.0,247,344.699826
3.0,250,348.386155
4.0,319,353.502204
0.0,127,355.450595
0.0,134,357.531988
4.0,282,361.609256
0.0,134,363.671531
3.0,274,367.570727
0.0,126,369.410507
6.0,380,375.136317
0.0,135,377.091417
4.0,303,381.595542
0.0,136,383.574993
2.0,202,386.516764
2.0,201,389.445142
9.0,385,395.251046
0.0,128,397.1137
2.0,199,400.303085
3.0,257,404.307045
2.0,213,407.788566
5.0,349,412.905937
2.0,198,415.747104
0.0,124,417.589833
0.0,130,419.497389
5.0,373,425.092913
1.0,180,428.037001
0.0,129,430.011502
0.0,124,432.003788
3.0,246,436.039427
7.0,329,441.086892
0.0,123,442.900442
1.0,170,445.34697
2.0,205,448.356506
5.0,361,454.093095
0.0,125,455.925911
2.0,197,458.852666
1.0,173,468.356314
0.0,130,470.378016
2.0,204,473.482211
5.0,357,479.317084
5.0,358,484.810267
8.0,351,489.997406
