# {"t_start": 1541657710.3598282, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,143,10.90026
0.0,161,13.348933
1.0,177,16.012901
0.0,142,18.245153
1.0,188,21.120889
2.0,229,24.644905
3.0,268,28.795966
3.0,210,32.011048
0.0,136,34.04688
1.0,171,36.55698
0.0,125,38.368381
2.0,233,41.905252
1.0,174,44.453359
2.0,234,47.981067
2.0,207,51.093962
0.0,125,52.95452
6.0,396,58.807014
0.0,137,60.885843
0.0,129,62.78775
1.0,191,65.680498
0.0,131,67.643239
5.0,334,72.612771
2.0,187,75.420017
1.0,161,77.799553
0.0,133,79.748962
2.0,226,83.057765
2.0,203,86.422086
0.0,130,88.337666
0.0,155,90.681773
0.0,143,92.806609
0.0,139,94.886917
0.0,143,97.052171
0.0,130,99.017056
1.0,158,101.346536
1.0,185,104.15115
1.0,157,106.551552
2.0,237,110.110915
0.0,136,112.144596
0.0,178,114.818448
6.0,391,120.737363
1.0,174,123.282271
0.0,143,125.408771
1.0,198,128.376542
1.0,186,131.18075
0.0,148,133.436973
0.0,124,135.334432
0.0,130,137.299083
1.0,178,139.890593
0.0,142,141.930891
2.0,192,144.784921
3.0,262,148.689142
0.0,149,150.946521
3.0,235,154.407446
2.0,215,157.616214
0.0,140,159.722917
2.0,247,163.435049
1.0,156,165.761659
2.0,205,168.857156
1.0,157,171.194043
2.0,238,174.784607
0.0,158,177.114052
0.0,132,179.08342
2.0,231,182.54022
1.0,183,185.267018
2.0,202,188.303319
1.0,189,191.150187
8.0,376,196.742401
0.0,129,198.657401
0.0,138,200.75226
4.0,290,205.209243
5.0,353,210.507288
1.0,162,212.824155
0.0,146,214.923464
0.0,130,216.77508
2.0,235,220.65653
0.0,145,223.396672
5.0,365,229.335043
0.0,136,231.390056
1.0,166,233.849245
3.0,256,237.573358
2.0,208,240.598294
6.0,397,246.669946
5.0,348,251.97342
1.0,173,254.48493
1.0,179,257.16344
6.0,404,263.13958
0.0,133,265.102682
0.0,126,267.054037
2.0,204,270.42595
3.0,234,273.987667
0.0,134,275.930043
0.0,126,277.776836
0.0,130,279.654851
0.0,136,282.120305
2.0,203,285.24187
2.0,214,288.476139
9.0,405,294.445104
3.0,288,298.651722
0.0,131,300.685109
2.0,198,303.662608
0.0,130,305.662007
4.0,307,310.166657
0.0,126,311.971085
0.0,133,313.987589
2.0,203,317.22267
0.0,129,319.215593
4.0,321,324.05544
0.0,132,326.060272
0.0,141,328.13973
0.0,133,330.094462
5.0,357,335.45448
0.0,131,337.393534
4.0,295,341.742757
0.0,124,343.626564
0.0,137,345.684909
0.0,123,347.461772
2.0,203,350.633393
2.0,200,353.845567
5.0,358,359.190568
2.0,201,362.154436
0.0,128,364.113318
1.0,152,366.267152
5.0,348,371.59712
0.0,127,373.421641
1.0,159,375.68853
2.0,200,378.623817
2.0,204,381.653166
0.0,126,383.484035
4.0,305,387.892249
1.0,155,390.162962
4.0,320,395.038397
0.0,133,396.969852
0.0,125,398.914781
1.0,168,401.719337
0.0,125,403.529766
0.0,132,405.714136
2.0,201,408.860795
1.0,156,411.128678
1.0,158,413.424017
0.0,129,415.295213
3.0,251,419.012945
0.0,123,420.77299
4.0,307,425.479215
0.0,126,427.515354
0.0,126,429.446765
3.0,251,433.496696
0.0,127,435.615907
0.0,132,437.874221
0.0,133,439.777672
0.0,136,441.775354
0.0,130,443.65254
5.0,350,448.747216
4.0,301,453.629663
0.0,130,455.536384
2.0,200,458.467329
3.0,228,468.842633
0.0,126,470.805859
0.0,129,472.760653
0.0,125,474.659227
0.0,125,476.823197
0.0,127,478.887894
0.0,129,480.881922
0.0,135,482.981084
0.0,137,485.023649
9.0,420,491.240047
3.0,234,494.657328
0.0,134,496.565787
6.0,375,501.942855
0.0,132,503.892724
4.0,295,508.159523
2.0,203,511.112001
3.0,253,514.749004
1.0,180,517.661031
1.0,153,520.205025
0.0,129,522.347768
4.0,303,534.029887
2.0,199,536.983126
0.0,135,538.985627
0.0,128,540.868464
3.0,235,544.305928
5.0,326,549.065987
2.0,209,552.09131
2.0,186,555.050564
7.0,330,560.767431
2.0,205,563.99316
4.0,298,568.297929
2.0,212,571.455315
1.0,175,574.138548
3.0,218,580.465157
10.0,435,590.865289
1.0,177,593.404199
5.0,329,598.221554
3.0,212,601.654897
0.0,127,603.568322
1.0,152,612.501958
9.0,410,621.388198
10.0,437,632.636398
0.0,133,636.261188
2.0,208,641.382126
3.0,252,647.226639
2.0,213,652.459511
5.0,355,661.275368
1.0,163,665.272729
1.0,156,669.09958
4.0,323,676.790683
2.0,198,681.619641
0.0,139,684.889734
5.0,352,693.146552
9.0,409,702.74988
1.0,158,706.417566
2.0,201,711.163325
4.0,328,718.780256
3.0,235,724.182886
2.0,185,728.361026
0.0,122,731.183784
2.0,196,735.748092
1.0,161,739.450274
2.0,212,744.459068
3.0,253,750.408935
8.0,352,758.503591
2.0,184,762.885264
3.0,251,768.673681
5.0,352,776.82162
2.0,229,782.081236
1.0,186,786.305517
2.0,202,791.00508
0.0,133,794.068322
5.0,363,802.372411
5.0,337,810.270038
2.0,182,814.458116
4.0,277,820.939825
2.0,207,825.84196
2.0,210,830.623419
1.0,191,835.016231
2.0,201,839.628784
10.0,456,850.323919
0.0,132,853.377118
2.0,185,857.727217
2.0,202,862.403146
8.0,380,871.16316
5.0,351,879.2898
2.0,205,884.047222
0.0,127,886.961568
9.0,405,896.338075
1.0,157,900.011559
4.0,326,907.650756
6.0,400,916.865185
3.0,254,922.874168
2.0,208,928.085452
3.0,218,933.420278
10.0,450,944.490373
4.0,285,951.322766
1.0,154,955.01133
3.0,258,961.165495
9.0,402,970.642758
10.0,452,981.181227
5.0,348,989.153024
2.0,202,993.909124
6.0,382,1002.760961
3.0,230,1008.229496
3.0,255,1014.187217
6.0,400,1023.390204
4.0,299,1030.378422
2.0,204,1035.035227
3.0,249,1040.937834
1.0,174,1044.962504
9.0,381,1053.723546
0.0,133,1056.753227
6.0,402,1066.011438
3.0,248,1071.794281
9.0,405,1081.197602
1.0,172,1085.105081
0.0,125,1088.066271
2.0,194,1092.549306
4.0,309,1099.735163
5.0,359,1108.108384
6.0,421,1117.829654
5.0,326,1125.474183
0.0,127,1128.484833
