# {"t_start": 1541657710.5945544, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,187,11.367716
3.0,290,15.7142
0.0,159,18.21895
1.0,195,21.211863
4.0,246,25.009139
3.0,276,29.22701
0.0,132,31.295508
0.0,138,33.363177
0.0,138,35.394903
0.0,136,37.376101
2.0,219,40.677596
5.0,357,46.011022
1.0,174,48.586614
0.0,136,50.630305
5.0,348,55.805657
2.0,246,59.45932
0.0,138,61.520807
2.0,227,64.936295
0.0,137,66.990878
0.0,133,68.969753
2.0,227,72.342501
3.0,286,76.638038
2.0,224,79.89541
0.0,142,81.996675
0.0,133,84.080974
7.0,439,90.849339
0.0,127,92.741208
0.0,135,94.770465
1.0,168,97.314424
0.0,126,99.210685
0.0,146,101.363693
0.0,132,103.368717
2.0,200,106.409132
2.0,217,109.679725
0.0,124,111.520897
0.0,152,113.806801
5.0,336,118.887889
0.0,133,120.861393
3.0,253,124.624423
5.0,340,129.728795
0.0,139,131.811839
0.0,125,133.75254
1.0,163,136.202789
0.0,138,138.253933
0.0,139,140.283916
3.0,253,143.943912
4.0,289,148.288503
0.0,134,150.316011
1.0,174,152.879786
0.0,126,154.746401
0.0,137,156.789846
0.0,153,159.077408
0.0,125,160.976726
1.0,186,163.745941
0.0,140,165.851118
0.0,150,168.113603
2.0,228,171.546931
0.0,139,173.609033
2.0,229,177.036352
1.0,158,179.390288
1.0,183,182.110807
0.0,125,183.992684
2.0,229,187.420912
0.0,139,189.476956
1.0,189,192.343194
5.0,342,197.426708
0.0,136,199.483911
2.0,200,202.488028
2.0,227,206.032962
9.0,423,212.222571
0.0,133,214.170682
12.0,541,223.033396
2.0,203,226.412051
0.0,133,228.536563
3.0,246,232.27802
0.0,137,234.292698
0.0,136,236.270421
2.0,201,239.184161
0.0,139,241.244752
3.0,229,244.786477
0.0,133,246.750237
1.0,177,249.594747
0.0,131,251.462681
0.0,137,253.479101
0.0,142,255.586231
4.0,308,260.171003
5.0,332,265.033242
0.0,141,267.219258
0.0,131,269.383264
3.0,245,273.259188
0.0,131,275.152265
2.0,206,278.131632
0.0,129,279.988261
5.0,336,285.592295
9.0,417,291.765541
0.0,125,293.600153
5.0,351,298.764124
0.0,131,300.825277
0.0,128,302.740659
6.0,402,308.751057
0.0,133,310.670749
2.0,206,313.731572
3.0,226,317.305434
0.0,124,319.272437
5.0,348,324.505219
0.0,126,326.399327
6.0,397,332.280796
0.0,125,334.132022
3.0,236,337.6578
1.0,173,340.149595
3.0,248,343.916034
0.0,130,345.884635
2.0,199,348.782294
4.0,303,353.722817
5.0,352,358.944847
2.0,221,362.20815
6.0,383,367.824216
4.0,301,372.490359
4.0,299,376.717148
0.0,129,378.644835
0.0,133,380.614004
0.0,128,382.531607
0.0,130,384.406878
2.0,207,387.386147
2.0,210,390.446249
6.0,365,395.967132
0.0,123,397.803196
3.0,262,402.079796
0.0,131,404.066051
0.0,129,406.14253
0.0,137,408.281529
12.0,538,416.13693
10.0,461,422.927444
