# {"t_start": 1541657710.5385473, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
3.0,255,12.455781
2.0,227,15.85357
0.0,146,18.154571
1.0,185,20.976836
1.0,166,23.537503
0.0,142,25.760272
5.0,298,30.340303
0.0,126,32.232062
2.0,199,35.187966
1.0,179,37.807278
1.0,153,40.082182
1.0,196,43.051756
0.0,140,45.111933
0.0,131,47.100327
0.0,132,49.061856
1.0,172,51.679668
2.0,209,54.740382
0.0,132,56.693949
1.0,160,59.087518
4.0,305,63.671997
0.0,130,65.612783
0.0,130,67.56094
2.0,219,70.79407
1.0,156,73.128011
3.0,255,76.968537
0.0,125,78.776783
0.0,129,80.652504
0.0,138,82.687889
0.0,135,84.885269
1.0,179,87.695924
0.0,133,89.704481
2.0,219,92.976491
1.0,181,95.707037
1.0,173,98.275359
3.0,233,101.814102
2.0,240,105.384499
2.0,229,108.867569
2.0,210,112.021466
2.0,227,115.456155
6.0,390,121.291631
1.0,186,124.019919
0.0,141,126.162592
1.0,182,128.90366
3.0,293,133.340544
0.0,160,135.760012
3.0,271,139.763833
0.0,125,141.551811
3.0,254,145.317812
2.0,214,148.513834
4.0,274,152.583649
0.0,140,154.673132
0.0,140,156.765145
3.0,292,161.16799
5.0,340,166.244926
2.0,218,169.537783
0.0,134,171.545537
0.0,144,173.704753
1.0,171,176.24811
5.0,314,180.95413
5.0,341,186.057993
5.0,388,191.873216
0.0,143,193.945483
0.0,158,196.312228
2.0,200,199.329645
3.0,251,203.140678
0.0,153,205.56548
0.0,149,207.809163
5.0,348,212.842546
0.0,137,214.800922
0.0,145,216.87684
0.0,130,218.844243
3.0,254,223.641677
3.0,256,227.773922
5.0,349,233.11613
3.0,248,236.723562
4.0,296,241.040755
0.0,141,243.109024
0.0,134,245.327995
2.0,205,248.409724
0.0,144,250.652926
0.0,144,252.716016
0.0,132,254.648528
2.0,205,257.704133
0.0,130,259.643872
4.0,296,263.993075
3.0,257,267.892197
0.0,134,270.2204
5.0,364,275.681523
0.0,128,277.560707
0.0,133,279.483507
2.0,226,283.422648
0.0,137,285.432183
0.0,130,287.396965
0.0,134,289.372991
12.0,437,295.852261
0.0,134,297.799209
2.0,204,300.905018
2.0,205,303.945569
2.0,198,307.030047
0.0,136,308.945114
5.0,356,314.216329
0.0,133,316.38013
2.0,202,319.50416
0.0,126,321.399392
2.0,208,324.532883
2.0,203,327.552745
0.0,130,329.465167
9.0,379,335.140565
1.0,172,337.674036
1.0,153,339.882175
4.0,300,344.430447
2.0,204,347.440772
0.0,129,349.337083
9.0,406,355.844689
5.0,333,360.752245
6.0,423,366.93194
4.0,325,371.990113
1.0,182,374.520401
3.0,248,378.160972
4.0,316,382.835786
0.0,130,384.718637
3.0,249,388.307243
6.0,378,393.986318
2.0,204,397.010028
2.0,206,400.352039
0.0,141,402.555894
2.0,200,405.716964
4.0,306,410.362029
0.0,130,412.254528
1.0,154,414.510167
0.0,143,416.599885
4.0,300,420.966069
0.0,132,422.953201
5.0,370,428.792064
3.0,256,432.883562
1.0,184,435.944268
5.0,350,441.299445
2.0,215,444.396903
0.0,134,446.368722
0.0,131,448.283889
