# {"t_start": 1541657710.5241692, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,228,12.08438
0.0,137,14.115396
1.0,182,16.910816
2.0,213,20.139942
2.0,193,23.153446
1.0,158,25.610984
0.0,126,27.563808
1.0,166,30.094858
1.0,189,32.962812
3.0,235,36.430059
0.0,132,38.340536
0.0,138,40.430388
0.0,126,42.363278
3.0,251,46.097672
0.0,145,48.243277
2.0,184,51.008723
4.0,324,55.810385
1.0,180,58.480265
0.0,127,60.395265
1.0,158,62.742574
7.0,340,67.85049
3.0,243,71.45878
0.0,125,73.322766
0.0,140,75.440477
2.0,193,78.288966
1.0,176,80.843592
0.0,131,82.777472
1.0,154,85.311934
0.0,135,87.404205
1.0,194,90.312789
4.0,297,94.75357
1.0,167,97.282578
2.0,220,100.585188
2.0,237,104.136295
0.0,139,106.260216
1.0,157,108.624587
4.0,306,113.21602
10.0,437,119.840164
0.0,129,121.731333
0.0,123,123.5283
0.0,134,125.546108
4.0,294,129.972805
4.0,312,134.726868
0.0,133,136.699871
1.0,162,139.107816
10.0,452,145.717521
0.0,137,147.769315
0.0,126,149.667734
0.0,138,151.718716
0.0,140,153.795958
4.0,305,158.328662
0.0,135,160.368147
3.0,245,164.052039
2.0,210,167.202691
0.0,136,169.250104
0.0,140,171.351744
5.0,368,176.837986
0.0,135,178.836506
0.0,137,180.91809
2.0,203,183.939766
0.0,134,185.968199
6.0,381,191.645102
0.0,140,193.70104
5.0,355,199.040495
5.0,373,204.757821
0.0,144,206.935321
5.0,354,212.114739
0.0,141,214.177244
0.0,140,216.145957
0.0,137,218.130322
0.0,128,220.431095
0.0,133,222.979716
4.0,328,228.363286
0.0,130,230.385702
0.0,133,232.381738
0.0,132,234.304067
0.0,130,236.20419
2.0,203,239.145056
0.0,133,241.111434
2.0,206,244.279151
0.0,130,246.266003
0.0,125,248.16921
3.0,254,252.013205
4.0,276,256.091103
0.0,142,258.175726
4.0,311,262.772147
0.0,142,264.875217
0.0,137,266.991393
9.0,420,273.670249
6.0,382,279.20293
2.0,203,282.722491
0.0,130,284.7159
0.0,125,286.590235
0.0,135,288.59922
2.0,198,291.511377
0.0,146,293.652874
6.0,380,299.245445
3.0,246,303.036182
4.0,298,307.576673
0.0,131,309.417476
2.0,203,312.393061
2.0,223,315.871876
1.0,183,318.720267
0.0,128,320.711634
5.0,350,325.955677
0.0,135,327.940037
4.0,299,332.395729
0.0,128,334.310588
2.0,202,337.318723
2.0,200,340.198418
0.0,131,342.2157
5.0,353,347.477221
2.0,225,350.986054
0.0,131,353.116302
8.0,357,358.514774
9.0,408,364.538854
3.0,250,368.158494
0.0,140,370.346895
0.0,133,372.416411
2.0,207,375.323912
4.0,296,379.655684
5.0,355,384.886877
1.0,159,387.167934
0.0,127,389.023962
9.0,412,395.245254
4.0,313,400.103466
0.0,138,402.308997
2.0,206,405.520164
5.0,362,411.039756
2.0,211,414.1131
3.0,253,417.815066
0.0,130,419.725822
0.0,132,421.612099
9.0,417,428.185928
3.0,227,431.793224
1.0,173,434.660009
0.0,125,436.790731
0.0,137,438.839873
1.0,160,441.159049
0.0,130,443.060034
2.0,199,445.930376
2.0,208,449.001284
2.0,206,452.480022
3.0,230,455.826547
2.0,199,458.802743
2.0,200,468.723953
2.0,199,471.824775
4.0,300,476.606245
2.0,203,479.837921
2.0,198,482.924172
2.0,213,486.140779
0.0,137,488.189819
0.0,125,489.95978
5.0,361,495.217625
1.0,170,497.68324
1.0,175,500.177107
0.0,141,502.211928
2.0,191,505.047696
4.0,330,509.820073
3.0,247,513.354763
0.0,130,515.28032
1.0,157,517.88939
3.0,214,521.387604
2.0,202,530.19245
2.0,200,534.638627
0.0,130,536.572534
0.0,129,538.480374
0.0,131,540.406238
1.0,162,542.775036
1.0,153,545.039334
1.0,171,547.512459
0.0,122,549.278852
5.0,373,555.007151
9.0,410,561.961314
1.0,179,564.674346
1.0,180,567.26634
1.0,174,569.898183
1.0,174,572.451359
5.0,357,584.498304
0.0,132,586.836476
5.0,356,592.026643
2.0,203,595.033589
9.0,403,601.208211
1.0,155,603.56027
1.0,164,612.723771
0.0,131,615.221535
4.0,307,622.396736
2.0,214,627.781793
1.0,164,632.268821
10.0,454,643.646217
1.0,159,647.317937
5.0,361,656.312755
4.0,276,663.01526
2.0,203,668.038729
1.0,161,671.971227
2.0,181,676.268276
0.0,125,679.180883
1.0,190,683.78795
0.0,141,687.158562
2.0,200,691.826374
1.0,156,695.387797
3.0,218,700.55308
6.0,430,710.669467
1.0,178,714.875656
1.0,161,718.527015
2.0,204,723.247874
1.0,153,726.702414
1.0,163,730.437029
2.0,216,735.463666
2.0,203,740.177926
1.0,183,744.480378
3.0,272,750.852587
5.0,354,759.032114
3.0,252,764.976178
4.0,318,772.355877
3.0,229,777.597647
9.0,433,787.462262
8.0,371,796.136092
2.0,204,800.684018
5.0,352,808.956419
3.0,249,814.721147
0.0,129,817.686116
9.0,404,827.202264
1.0,183,831.387848
4.0,303,838.333887
3.0,227,843.636967
6.0,401,852.985572
8.0,370,861.650873
3.0,254,867.398117
3.0,250,873.206847
2.0,207,878.013873
0.0,124,880.88788
5.0,352,889.152742
2.0,204,893.773876
4.0,265,899.95963
1.0,157,903.66308
2.0,204,908.464878
2.0,186,912.779078
2.0,228,918.002948
2.0,212,923.000698
1.0,186,927.665558
5.0,359,936.279728
9.0,414,946.674824
3.0,252,952.582005
9.0,411,962.515888
1.0,182,966.747938
3.0,236,972.307999
13.0,437,982.380251
2.0,190,986.775397
3.0,234,992.193002
1.0,152,995.740115
0.0,130,998.763733
2.0,204,1003.547088
2.0,204,1008.426497
9.0,380,1017.201708
6.0,375,1025.890427
8.0,473,1036.874081
0.0,129,1039.937971
6.0,403,1049.237352
7.0,449,1059.576567
3.0,229,1064.875118
3.0,212,1069.783402
0.0,130,1072.758929
2.0,200,1077.416972
6.0,400,1086.669692
5.0,327,1094.246441
3.0,231,1099.622371
5.0,319,1107.045175
1.0,185,1111.266656
4.0,242,1116.927339
1.0,169,1120.881136
2.0,187,1125.270475
1.0,173,1129.296968
0.0,129,1132.287667
6.0,394,1141.529711
5.0,368,1150.151577
6.0,378,1158.877012
5.0,358,1167.146027
2.0,184,1171.480698
3.0,230,1176.776226
2.0,199,1181.275547
3.0,240,1186.855175
4.0,304,1193.961438
2.0,185,1198.301782
9.0,460,1209.135592
1.0,176,1213.122237
3.0,269,1219.506651
4.0,299,1226.416075
1.0,156,1230.070063
4.0,284,1236.590182
3.0,249,1242.479216
3.0,229,1247.904766
3.0,245,1253.580668
4.0,264,1259.860857
5.0,296,1266.795348
2.0,186,1271.139922
4.0,284,1277.784714
13.0,528,1289.822988
3.0,227,1295.101926
3.0,233,1300.561543
2.0,203,1305.199431
5.0,305,1312.147619
6.0,400,1321.359479
3.0,248,1327.172178
6.0,376,1335.790908
8.0,354,1343.932365
2.0,234,1349.448231
7.0,403,1358.749269
5.0,350,1366.716691
2.0,205,1371.357203
6.0,374,1379.877415
3.0,250,1385.680838
