# {"t_start": 1541657710.621088, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,212,11.746731
0.0,148,13.940463
0.0,151,16.225571
4.0,305,20.955525
2.0,184,23.791611
1.0,151,26.126002
0.0,136,28.22928
0.0,128,30.187587
2.0,186,33.013297
1.0,160,35.368757
1.0,200,38.286083
0.0,129,40.205529
2.0,184,43.002717
0.0,137,45.011959
0.0,135,47.076319
2.0,231,50.506283
1.0,176,53.14126
0.0,152,55.386995
1.0,175,57.978344
1.0,160,60.392699
2.0,223,63.74532
4.0,295,68.132141
0.0,134,70.126992
2.0,209,73.256057
1.0,163,75.696263
2.0,208,78.76206
0.0,135,80.714904
1.0,177,83.38827
0.0,124,85.458886
3.0,265,89.490675
0.0,145,91.635672
4.0,263,95.605832
1.0,174,98.196633
2.0,225,101.605815
0.0,137,103.640654
4.0,348,108.892115
2.0,214,112.130474
0.0,142,114.251284
0.0,144,116.421861
1.0,164,118.905805
3.0,232,122.365901
0.0,136,124.363032
2.0,219,127.645983
3.0,252,131.424557
1.0,160,133.911759
3.0,270,137.953755
0.0,143,140.016692
0.0,171,142.487264
0.0,136,144.530259
2.0,218,147.788001
0.0,130,149.747767
2.0,246,153.395293
0.0,171,155.935236
2.0,233,159.421148
2.0,214,162.639664
0.0,140,164.717939
0.0,151,167.005054
0.0,143,169.153284
0.0,134,171.162052
0.0,143,173.316118
3.0,255,177.12342
2.0,209,180.220657
2.0,226,183.607459
0.0,123,185.465323
0.0,125,187.311669
1.0,191,190.171005
2.0,197,193.08822
0.0,153,195.381958
0.0,137,197.452481
0.0,137,199.52969
0.0,133,201.543216
2.0,221,204.923545
5.0,352,210.199719
2.0,204,213.157397
0.0,139,215.117567
0.0,130,216.977746
2.0,222,220.731858
0.0,128,223.174811
0.0,154,225.741777
0.0,139,227.959286
0.0,143,230.182248
0.0,137,232.250692
0.0,129,234.134473
9.0,421,240.242127
4.0,305,244.993432
0.0,133,246.923399
2.0,199,250.071781
3.0,240,253.558998
0.0,147,255.743842
2.0,201,258.702749
0.0,130,260.646538
0.0,142,262.72919
0.0,135,264.718058
2.0,209,268.007618
5.0,357,273.646048
5.0,334,278.505244
6.0,411,285.140865
1.0,175,287.793672
2.0,201,290.705174
2.0,203,293.70598
0.0,129,295.669104
0.0,135,297.619493
2.0,213,300.876433
0.0,137,302.911088
2.0,200,306.005492
2.0,204,308.948319
0.0,131,310.834818
3.0,249,314.648351
0.0,128,316.672575
1.0,180,319.447157
2.0,208,322.595911
3.0,273,326.676163
5.0,363,332.055224
0.0,132,334.015222
0.0,126,335.912563
2.0,203,338.873489
4.0,297,343.350067
0.0,129,345.279321
0.0,126,347.123348
3.0,249,350.997921
3.0,250,354.967236
0.0,130,356.990865
10.0,424,363.23335
0.0,130,365.079204
6.0,410,371.282408
0.0,137,373.267655
4.0,276,377.251297
0.0,130,379.153653
0.0,124,381.007029
3.0,273,385.012873
5.0,348,390.04087
0.0,134,392.114489
2.0,198,395.082908
0.0,122,396.876316
0.0,127,398.864387
0.0,134,401.13215
2.0,198,404.143566
4.0,302,408.886674
0.0,127,410.730734
3.0,271,414.680775
0.0,135,416.66679
3.0,216,419.845123
0.0,133,421.781897
9.0,411,428.23407
0.0,135,430.34451
2.0,203,433.641855
10.0,429,440.40949
0.0,127,442.257911
3.0,255,445.953872
2.0,201,448.926142
0.0,129,451.281847
0.0,131,453.174036
9.0,408,459.30367
2.0,200,469.178134
1.0,166,471.745809
0.0,125,473.621345
3.0,252,477.815083
4.0,301,482.473882
1.0,192,485.383175
1.0,176,488.033139
5.0,357,493.221822
4.0,287,497.332683
3.0,253,500.949779
4.0,300,505.379726
2.0,206,508.325069
0.0,126,510.17175
4.0,294,514.392733
0.0,126,516.442766
1.0,180,519.440755
4.0,303,528.498145
4.0,330,536.235729
0.0,129,538.158543
1.0,155,540.45315
1.0,160,542.792345
2.0,197,545.66445
1.0,182,548.335785
0.0,126,550.153486
5.0,335,555.501845
