# {"t_start": 1541657710.4453416, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,144,10.836927
3.0,270,14.92912
3.0,284,19.320987
4.0,270,23.462667
0.0,125,25.389041
1.0,165,27.978795
2.0,186,30.812027
0.0,135,32.834331
0.0,127,34.733862
2.0,194,37.56198
1.0,177,40.191169
4.0,317,44.911682
1.0,153,47.265443
0.0,128,49.152296
1.0,174,51.799251
2.0,209,54.860673
0.0,132,56.813323
2.0,209,59.936106
0.0,131,61.887522
1.0,160,64.313824
0.0,129,66.251545
1.0,194,69.134515
5.0,355,74.454047
1.0,191,77.282509
4.0,300,81.684127
5.0,339,87.035438
2.0,227,90.417789
1.0,153,92.706091
1.0,181,95.431851
5.0,334,100.437666
0.0,124,102.356753
0.0,134,104.34781
2.0,207,107.456481
0.0,127,109.372581
5.0,391,115.259642
0.0,145,117.450229
2.0,207,120.575066
1.0,177,123.161636
5.0,351,128.421092
0.0,132,130.403537
0.0,140,132.534965
0.0,125,134.458646
2.0,224,137.826919
2.0,244,141.35295
0.0,144,143.451633
0.0,151,145.696944
2.0,210,148.880414
0.0,141,150.987444
5.0,343,156.056084
2.0,229,159.467064
1.0,196,162.437798
1.0,201,165.43689
5.0,367,170.938552
0.0,132,172.935971
1.0,171,175.489595
0.0,137,177.538951
0.0,144,179.688393
5.0,329,184.590951
0.0,144,186.755682
0.0,135,188.763853
2.0,232,192.273041
0.0,137,194.258476
8.0,360,199.702065
2.0,233,203.211174
0.0,133,205.282584
3.0,266,209.346483
0.0,131,211.192416
0.0,151,213.393748
2.0,205,216.291237
0.0,131,218.16885
5.0,354,224.61205
4.0,310,229.577967
0.0,140,231.681743
1.0,154,233.963336
0.0,130,235.87022
0.0,138,237.85384
0.0,141,239.910677
0.0,145,242.081675
0.0,132,244.13343
0.0,133,246.186845
0.0,128,248.116912
2.0,208,251.284359
0.0,130,253.191029
9.0,403,259.165567
5.0,356,264.417993
0.0,128,266.313937
2.0,235,270.209747
0.0,148,272.596027
2.0,205,275.530735
0.0,130,277.437207
0.0,143,279.492346
4.0,313,284.692507
2.0,201,287.741842
0.0,127,289.606776
0.0,132,291.52697
2.0,207,294.598518
2.0,203,297.601832
