# {"t_start": 1541657710.4595463, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
4.0,341,13.808602
1.0,187,16.669232
0.0,143,18.911748
2.0,214,22.177583
0.0,139,24.318353
1.0,168,26.898144
0.0,133,28.962872
0.0,137,31.096391
0.0,129,33.009975
2.0,223,36.283126
1.0,154,38.544723
1.0,174,41.192086
0.0,139,43.273576
0.0,144,45.415711
2.0,232,48.861234
0.0,131,50.849733
5.0,353,56.092296
1.0,184,58.797247
1.0,163,61.25761
4.0,305,65.839208
1.0,158,68.189534
5.0,348,73.368775
1.0,186,76.157063
3.0,257,79.931878
1.0,184,82.644126
3.0,235,86.472338
2.0,200,89.464281
4.0,301,93.979135
0.0,132,95.962653
3.0,261,99.877534
4.0,305,104.474541
0.0,138,106.556495
1.0,180,109.258671
9.0,389,115.091105
0.0,139,117.210617
0.0,128,119.144528
1.0,185,121.896082
1.0,175,124.471153
0.0,153,126.781451
0.0,136,128.834877
0.0,141,130.938591
0.0,127,132.882903
3.0,259,136.796737
3.0,261,140.624513
2.0,214,143.721824
0.0,141,145.853431
3.0,278,150.026235
2.0,213,153.170109
2.0,241,156.75264
0.0,149,158.974724
1.0,186,161.797711
5.0,358,167.162591
0.0,149,169.410677
0.0,135,171.430568
2.0,209,174.566943
9.0,408,180.644649
1.0,182,183.353562
3.0,260,187.232553
0.0,136,189.242622
4.0,314,193.938072
4.0,322,198.790034
0.0,128,200.716645
0.0,133,202.756874
5.0,363,208.323608
9.0,413,214.304095
0.0,149,216.414971
0.0,147,218.56003
0.0,127,220.921897
6.0,385,227.541478
0.0,130,229.621996
0.0,138,231.686532
0.0,133,233.66488
0.0,126,235.520624
3.0,252,239.149518
0.0,135,241.151422
1.0,150,243.367674
0.0,134,245.571002
3.0,255,249.495394
0.0,133,251.424428
0.0,139,253.464837
0.0,137,255.47892
0.0,134,257.480949
0.0,135,259.467614
2.0,202,262.443907
0.0,125,264.297425
0.0,129,266.202857
0.0,139,268.486835
0.0,128,270.629127
2.0,204,273.736704
0.0,133,275.66404
0.0,134,277.618037
0.0,133,279.538222
0.0,137,282.022479
0.0,138,284.195816
0.0,147,286.382844
9.0,419,292.566398
0.0,133,294.55935
4.0,284,298.709949
5.0,353,304.07325
0.0,123,306.006192
1.0,159,308.342542
2.0,223,311.529448
2.0,206,314.717587
2.0,203,317.867154
2.0,208,321.119623
2.0,204,324.161663
10.0,454,330.913593
0.0,126,332.802115
2.0,200,335.802034
3.0,272,339.751616
2.0,205,342.88176
0.0,135,344.897072
0.0,129,346.813085
4.0,300,351.443799
0.0,129,353.533647
3.0,251,357.40271
2.0,205,360.344688
0.0,129,362.23867
2.0,201,365.206898
1.0,167,367.609585
3.0,254,371.599796
3.0,246,375.085084
2.0,200,378.027886
3.0,275,382.094746
2.0,201,385.02296
7.0,449,391.601558
0.0,125,393.486451
9.0,389,399.435883
2.0,198,402.617171
5.0,349,408.125335
1.0,157,410.418279
2.0,199,413.325773
4.0,301,417.727269
0.0,129,419.623742
1.0,156,421.908947
2.0,202,425.010711
1.0,173,427.842297
3.0,253,431.812722
4.0,306,436.964683
5.0,330,441.806283
2.0,197,444.635661
1.0,181,447.283447
0.0,129,449.206527
0.0,129,451.562035
5.0,333,456.403067
3.0,248,464.73716
3.0,249,470.850541
10.0,459,478.214278
6.0,399,484.33658
3.0,231,487.869171
2.0,188,490.548738
0.0,128,492.472536
3.0,236,495.833813
0.0,144,497.929214
2.0,206,500.843761
1.0,170,503.355808
8.0,380,508.84904
0.0,125,510.670111
9.0,385,516.412719
0.0,130,518.575849
0.0,125,520.591749
1.0,151,523.052163
0.0,131,531.867332
0.0,130,534.074472
0.0,127,535.956241
0.0,128,537.849711
0.0,138,539.900959
3.0,249,543.580261
3.0,256,547.278052
3.0,232,550.6676
9.0,403,557.246652
0.0,133,559.154266
0.0,131,561.611049
3.0,270,565.666388
8.0,377,571.217485
1.0,182,574.010514
4.0,322,585.660371
1.0,155,588.156024
