# {"t_start": 1541657710.6038697, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,183,11.291712
0.0,132,13.269958
1.0,180,15.980332
1.0,169,18.650151
4.0,294,23.152813
4.0,278,27.46753
1.0,160,29.903099
3.0,269,33.960046
0.0,130,35.873015
0.0,131,37.793701
0.0,138,39.836488
1.0,154,42.202612
0.0,137,44.17713
0.0,134,46.248292
2.0,196,49.159473
9.0,423,55.457474
6.0,404,61.468749
2.0,179,64.186404
2.0,208,67.279328
2.0,205,70.323984
2.0,201,73.33014
2.0,206,76.423706
3.0,253,80.105744
3.0,247,83.857577
4.0,308,88.677085
1.0,183,91.412322
2.0,221,94.728961
2.0,206,97.835461
2.0,222,101.143544
1.0,178,103.835242
0.0,131,105.82402
0.0,131,107.790731
3.0,272,111.888108
5.0,360,117.337583
0.0,146,119.538315
1.0,174,122.113575
0.0,145,124.238575
0.0,154,126.564783
2.0,214,129.779766
0.0,142,131.911166
3.0,263,135.920928
0.0,165,138.391774
2.0,193,141.156074
1.0,176,143.730719
0.0,137,145.803188
1.0,158,148.147137
0.0,128,150.09432
0.0,125,151.927889
2.0,214,155.103468
0.0,142,157.232131
2.0,232,160.720909
2.0,221,164.03928
0.0,127,165.92868
0.0,138,168.004033
0.0,158,170.361577
1.0,194,173.28643
2.0,222,176.599084
3.0,248,180.311429
0.0,131,182.248945
2.0,202,185.280998
1.0,160,187.685826
12.0,446,194.337348
2.0,199,197.30239
5.0,388,203.193661
0.0,139,205.376062
0.0,131,207.360276
5.0,358,212.555457
3.0,248,216.104925
3.0,273,220.555839
0.0,139,223.193543
0.0,162,225.888752
6.0,387,231.90273
2.0,211,235.017176
0.0,128,236.847465
0.0,139,238.856369
2.0,200,241.831236
0.0,130,243.831861
4.0,282,248.171999
5.0,352,253.430965
3.0,229,256.82529
0.0,135,258.834666
0.0,130,260.77145
2.0,205,263.769753
0.0,141,265.824505
2.0,205,269.197993
2.0,201,272.488736
3.0,256,276.155549
2.0,205,279.124295
0.0,126,281.365998
0.0,138,283.652653
2.0,201,286.625445
4.0,300,291.060769
9.0,412,297.157892
0.0,127,298.971173
0.0,126,301.019006
2.0,201,303.966952
9.0,411,310.075786
