# {"t_start": 1541657710.2683477, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,137,10.884798
0.0,168,13.459076
0.0,135,15.46612
5.0,360,21.023046
0.0,135,23.133396
0.0,129,25.118661
0.0,129,27.107372
3.0,236,30.759074
2.0,222,34.096134
0.0,130,36.012556
1.0,194,38.845934
4.0,311,43.536465
4.0,297,47.959408
1.0,164,50.40617
2.0,226,53.797704
5.0,374,59.337102
4.0,299,63.835126
0.0,126,65.711017
1.0,178,68.354518
0.0,127,70.258845
1.0,199,73.216016
1.0,167,75.745706
0.0,133,77.701557
3.0,249,81.345053
4.0,280,85.750671
0.0,136,87.845865
2.0,204,90.890977
0.0,132,92.864692
2.0,190,95.733763
0.0,129,97.685692
5.0,354,103.005576
1.0,173,105.580079
4.0,319,110.443904
2.0,237,113.95157
1.0,169,116.522944
0.0,142,118.652667
2.0,223,121.998959
2.0,201,124.977647
3.0,263,128.938897
2.0,217,132.177344
2.0,206,135.335292
3.0,249,139.073931
0.0,137,141.037581
0.0,148,143.162831
1.0,202,146.194941
3.0,251,149.957432
2.0,232,153.392807
0.0,137,155.416312
2.0,234,158.921265
0.0,135,160.9467
0.0,135,162.985744
2.0,204,166.031906
0.0,130,167.985715
1.0,171,170.538875
0.0,142,172.690914
4.0,304,177.234762
2.0,207,180.312762
0.0,135,182.323953
2.0,207,185.421852
2.0,229,188.831856
3.0,279,193.034482
1.0,178,195.67851
0.0,136,197.718096
0.0,128,199.635004
0.0,132,201.659428
2.0,210,204.8918
0.0,126,206.814389
1.0,158,209.220352
2.0,218,212.296245
0.0,128,214.187691
1.0,170,216.600633
0.0,139,218.628577
1.0,181,221.879608
0.0,141,224.551817
5.0,355,230.219152
0.0,133,232.216235
2.0,209,235.297724
3.0,270,239.188634
9.0,401,245.342008
0.0,130,247.229564
2.0,203,250.439451
10.0,445,256.950993
0.0,131,258.874778
0.0,139,260.957471
0.0,123,262.760233
0.0,138,264.801362
0.0,127,266.706529
4.0,300,271.668929
0.0,134,273.681875
2.0,212,276.753996
0.0,133,278.667369
2.0,209,282.186921
5.0,353,287.593801
0.0,144,289.710677
0.0,130,291.617628
4.0,301,296.104077
0.0,128,297.955981
0.0,132,299.874904
2.0,216,303.203881
10.0,447,309.857973
0.0,130,311.743442
3.0,251,315.653947
0.0,138,317.7618
5.0,354,323.200804
8.0,377,328.801397
1.0,159,331.184394
4.0,282,335.391299
0.0,125,337.258877
4.0,306,341.747888
3.0,270,345.842365
2.0,197,348.712542
0.0,134,350.872521
2.0,201,354.136504
0.0,125,355.979589
4.0,281,360.142334
0.0,133,362.092873
3.0,256,365.863525
0.0,135,367.818665
3.0,229,371.373224
2.0,206,374.365306
2.0,188,377.070488
0.0,145,379.232865
2.0,205,382.263705
3.0,231,385.645302
1.0,176,388.1627
2.0,203,391.133167
4.0,297,395.672871
0.0,135,397.623924
0.0,141,399.923816
4.0,291,404.53437
4.0,299,409.221869
3.0,249,412.860765
1.0,151,415.054632
0.0,126,416.908953
2.0,209,419.975385
6.0,382,425.759819
2.0,207,429.019385
0.0,134,431.178508
0.0,127,433.203859
0.0,130,435.400133
0.0,124,437.512115
2.0,202,440.470802
0.0,131,442.374107
3.0,263,446.182094
0.0,133,448.139968
0.0,134,450.113432
2.0,203,453.550637
0.0,132,455.47776
2.0,223,458.761171
3.0,251,469.509332
0.0,137,471.647902
2.0,181,474.35059
4.0,289,479.142197
10.0,436,485.819621
1.0,177,488.489734
1.0,164,490.849332
2.0,204,493.829444
0.0,135,495.769989
2.0,199,498.669056
3.0,228,501.887827
0.0,127,503.773589
2.0,201,506.719647
5.0,354,511.824958
3.0,251,515.462629
1.0,152,517.991559
0.0,126,520.084271
3.0,249,525.058759
3.0,254,534.964116
0.0,123,536.762075
4.0,304,541.281049
1.0,163,543.678564
3.0,232,547.044867
0.0,129,548.935917
1.0,181,551.554298
0.0,126,553.381393
9.0,418,560.572734
5.0,351,565.950858
1.0,154,568.17108
1.0,163,570.628852
1.0,162,573.057356
1.0,155,575.391887
0.0,130,579.507764
2.0,211,587.537151
0.0,128,589.490915
