# {"t_start": 1541107204.808303, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,123,26.789371
3.0,251,30.148068
2.0,185,32.476337
3.0,231,35.413264
0.0,129,37.028651
0.0,127,38.582304
1.0,176,40.86898
0.0,127,42.44006
2.0,222,45.313969
1.0,171,47.415174
2.0,201,50.041406
0.0,127,51.564906
3.0,253,54.836038
1.0,157,56.944525
1.0,171,60.007534
0.0,125,62.145798
4.0,277,66.84393
1.0,173,69.374383
0.0,129,71.183577
0.0,127,72.933732
1.0,176,75.443925
0.0,129,77.220096
5.0,346,84.068052
0.0,129,85.622754
3.0,232,88.691432
4.0,299,92.552808
0.0,129,94.117894
4.0,278,97.740914
6.0,377,102.63624
1.0,176,104.89366
0.0,127,106.472809
1.0,157,108.420472
0.0,127,109.929463
2.0,202,112.456598
1.0,173,114.626475
1.0,158,116.543967
5.0,352,121.090304
2.0,202,123.571348
3.0,250,126.758329
4.0,297,130.543748
6.0,399,135.769652
1.0,171,137.884526
0.0,125,139.393259
0.0,127,140.874753
2.0,202,143.469299
0.0,129,144.983862
0.0,129,146.511749
3.0,229,149.423688
5.0,350,153.989045
5.0,345,158.485348
0.0,129,160.030119
4.0,321,164.164163
1.0,171,166.265245
4.0,297,170.08598
5.0,331,174.309683
2.0,202,176.843875
0.0,127,178.338988
5.0,350,182.847993
9.0,401,188.032823
0.0,125,189.513843
2.0,200,191.981323
2.0,202,194.524023
6.0,344,198.973307
10.0,449,204.689653
5.0,346,209.099762
1.0,155,210.954233
2.0,222,213.751178
1.0,178,215.916465
9.0,404,221.077055
2.0,206,223.58888
4.0,319,227.58216
0.0,129,229.096637
3.0,250,232.101057
4.0,265,235.370696
4.0,265,238.571817
15.0,539,245.373616
3.0,235,248.347097
17.0,522,254.926163
2.0,202,257.333067
8.0,464,263.21052
7.0,390,267.989706
5.0,289,271.472945
11.0,500,277.74487
5.0,347,281.99665
6.0,425,287.22306
9.0,329,291.247246
4.0,282,294.675539
8.0,463,300.3726
14.0,388,305.086184
9.0,461,310.681939
8.0,443,316.045573
23.0,610,323.560056
13.0,508,329.793001
18.0,711,340.193093
15.0,587,348.124517
24.0,801,358.096366
17.0,588,365.227513
20.0,468,370.913492
24.0,858,381.481916
33.0,872,392.167062
13.0,597,399.405926
26.0,920,410.706537
22.0,848,421.102451
63.0,1478,440.227148
30.0,907,452.362874
15.0,642,460.108694
57.0,1427,477.480459
47.0,943,489.689061
50.0,1115,504.07192
42.0,1310,520.657971
47.0,1150,534.73708
63.0,1067,547.714
68.0,1292,563.417478
68.0,1359,579.992565
92.0,1331,596.18764
55.0,1259,611.522418
85.0,1275,626.847878
41.0,856,637.194988
103.0,1640,657.151797
89.0,1478,675.109063
113.0,1525,693.65911
39.0,892,704.412997
48.0,935,715.740078
57.0,1283,731.247066
101.0,1439,750.799433
79.0,1052,765.531024
177.0,1680,786.18382
96.0,1392,802.99594
68.0,1079,815.950393
221.0,1814,838.031806
269.0,1408,855.126024
312.0,1695,875.758103
374.0,1646,895.695316
69.0,1248,910.782256
329.0,1837,933.115539
336.0,1718,953.853354
226.0,1389,970.547406
359.0,2013,994.962185
261.0,1607,1014.355066
380.0,1781,1035.815084
332.0,1880,1058.51591
220.0,1476,1076.217422
287.0,1951,1100.436954
243.0,1820,1122.348879
344.0,1834,1144.500112
