# {"t_start": 1541657710.632912, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,136,10.50715
0.0,164,13.012134
1.0,178,15.693351
6.0,430,22.36885
5.0,318,27.284699
0.0,129,29.218662
0.0,126,31.195152
3.0,257,35.007301
1.0,183,37.684045
1.0,179,40.365874
2.0,230,43.787407
0.0,136,45.854185
2.0,206,48.915334
9.0,532,56.83106
1.0,191,59.685351
2.0,204,62.743042
2.0,215,65.990797
0.0,137,68.018989
3.0,246,71.671402
1.0,173,74.301216
0.0,127,76.176529
2.0,233,79.584479
1.0,164,81.999526
1.0,176,84.790946
0.0,139,87.007163
0.0,136,89.038198
4.0,294,93.465759
1.0,184,96.20721
2.0,224,99.588744
2.0,212,102.782304
2.0,197,105.730885
1.0,186,108.555951
2.0,204,111.602124
4.0,308,116.246782
0.0,145,118.439427
1.0,166,120.921447
2.0,238,124.446155
5.0,347,129.649881
4.0,306,134.32586
0.0,148,136.523801
0.0,127,138.44625
0.0,124,140.21781
0.0,135,142.143858
0.0,133,144.125774
4.0,298,148.60944
0.0,138,150.677339
4.0,286,154.893844
3.0,230,158.340402
3.0,285,162.625919
1.0,176,165.251271
3.0,255,169.099242
7.0,462,175.99756
1.0,175,178.591379
0.0,131,180.581839
2.0,209,183.697086
0.0,148,185.932746
5.0,354,191.21224
5.0,353,196.474167
0.0,157,198.82177
5.0,354,204.272665
3.0,260,208.221641
0.0,152,210.423307
0.0,131,212.296831
2.0,226,215.517748
0.0,136,217.459737
0.0,134,219.760198
1.0,164,222.862718
2.0,214,226.444523
5.0,366,232.097375
2.0,234,235.534924
2.0,210,238.537607
9.0,416,244.91387
0.0,129,246.786291
2.0,209,250.094695
4.0,298,254.407712
0.0,132,256.381417
0.0,132,258.329015
0.0,145,260.499895
0.0,130,262.400125
0.0,129,264.323896
0.0,142,266.455549
3.0,252,270.613975
9.0,420,276.835694
0.0,136,278.804816
15.0,534,287.335464
5.0,360,292.622448
3.0,256,296.465014
8.0,370,302.004778
0.0,131,303.937585
8.0,376,309.526774
0.0,133,311.460012
2.0,204,314.607409
1.0,180,317.397907
2.0,203,320.573107
0.0,132,322.538777
2.0,203,325.596107
2.0,198,328.516251
3.0,263,332.443338
3.0,250,336.174407
9.0,388,341.918321
1.0,176,344.571944
0.0,129,346.493104
0.0,127,348.33223
3.0,252,352.408689
2.0,208,355.598526
0.0,127,357.570314
0.0,127,359.350571
0.0,130,361.292064
1.0,161,363.731306
0.0,130,365.559792
5.0,351,370.869559
5.0,353,376.003754
0.0,127,377.876729
3.0,258,381.688367
0.0,146,383.800989
2.0,201,386.70527
6.0,388,392.479832
0.0,143,394.660615
0.0,129,396.539705
1.0,177,399.336168
1.0,181,402.265579
5.0,358,407.903441
0.0,123,409.678854
1.0,165,412.093147
6.0,385,417.756749
1.0,190,420.507289
2.0,201,423.474872
1.0,164,426.152447
1.0,152,428.525913
0.0,141,430.783964
2.0,199,434.044059
6.0,382,440.047351
0.0,131,441.949534
3.0,230,445.300913
4.0,307,449.805276
0.0,125,452.092249
0.0,126,453.929561
4.0,300,458.329066
4.0,318,470.104769
0.0,127,472.065841
3.0,237,475.759804
2.0,203,479.138745
3.0,246,482.961746
1.0,160,485.352284
2.0,204,488.407037
0.0,128,490.229857
0.0,129,492.170201
2.0,206,495.111888
1.0,185,497.803288
4.0,307,502.193967
3.0,250,505.891106
3.0,250,509.496559
0.0,123,511.254568
2.0,198,514.08092
0.0,127,516.100127
0.0,126,518.189354
0.0,130,520.292418
0.0,128,522.409703
3.0,249,533.292547
1.0,151,535.510878
2.0,202,538.517554
6.0,382,544.122473
0.0,127,545.974681
3.0,238,549.446373
3.0,225,552.688976
6.0,414,559.755308
5.0,357,565.308926
4.0,299,569.722902
0.0,140,571.775216
0.0,139,573.943584
5.0,355,586.237711
1.0,156,588.616865
4.0,281,592.633316
5.0,333,597.524831
3.0,234,601.256392
2.0,203,604.354952
4.0,281,616.112993
5.0,359,624.613508
2.0,223,630.503323
4.0,292,638.371494
5.0,352,646.590386
5.0,351,655.287817
1.0,156,659.18035
1.0,159,662.932205
1.0,183,667.459995
1.0,189,672.063539
1.0,154,675.759087
3.0,231,681.288812
3.0,279,687.968802
2.0,204,692.631938
4.0,313,699.936865
7.0,438,710.247962
2.0,184,714.584402
0.0,124,717.418881
1.0,182,721.630844
3.0,249,727.261877
8.0,374,735.96686
1.0,188,740.304463
1.0,173,744.370333
4.0,297,751.312876
5.0,333,759.033266
2.0,185,763.39665
5.0,345,771.398943
9.0,403,780.654504
2.0,190,785.014738
0.0,130,787.936555
4.0,276,794.401945
0.0,125,797.279212
2.0,225,802.421746
0.0,133,805.475856
3.0,249,811.334388
3.0,244,816.920821
9.0,413,826.676246
7.0,460,837.16609
2.0,205,841.951537
1.0,155,845.610906
9.0,384,854.572777
4.0,290,861.342466
2.0,198,865.815585
3.0,250,871.630305
2.0,201,876.244211
3.0,250,882.059731
2.0,206,886.868811
9.0,384,895.738438
2.0,204,900.50147
1.0,162,904.293175
5.0,358,912.695646
3.0,238,918.16141
7.0,448,929.134254
5.0,372,938.086234
3.0,258,944.556181
7.0,449,955.297492
2.0,221,960.540347
6.0,381,969.559204
4.0,298,976.460851
1.0,183,980.774965
1.0,156,984.314626
3.0,236,989.77177
0.0,137,992.991649
4.0,315,1000.300224
3.0,249,1006.205505
6.0,397,1015.475363
1.0,158,1019.044666
2.0,218,1024.152614
2.0,230,1029.518538
3.0,266,1035.64612
3.0,252,1041.560795
3.0,218,1046.609981
10.0,463,1057.211116
2.0,189,1061.600019
4.0,280,1068.08503
4.0,279,1074.488706
2.0,204,1079.224741
2.0,205,1083.983512
1.0,158,1087.694023
0.0,123,1090.543575
3.0,253,1096.350912
2.0,205,1101.157271
1.0,158,1104.818977
3.0,233,1110.214052
5.0,356,1118.483747
5.0,343,1126.565299
4.0,278,1133.018072
0.0,128,1136.023981
3.0,278,1142.466534
9.0,402,1151.894963
4.0,269,1158.11463
3.0,248,1163.864478
4.0,265,1169.952796
2.0,185,1174.276282
5.0,309,1181.389729
1.0,155,1184.960398
2.0,224,1190.252838
5.0,352,1198.425703
1.0,164,1202.371497
6.0,398,1211.566878
5.0,349,1219.761237
9.0,403,1229.173697
0.0,124,1231.930773
8.0,431,1242.062388
2.0,185,1246.450684
