# {"t_start": 1541657710.5973375, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,205,11.646739
0.0,139,13.718476
1.0,159,16.126272
1.0,160,18.641154
0.0,140,20.757051
0.0,132,22.812031
1.0,179,25.581723
0.0,129,27.587358
0.0,152,29.880059
1.0,157,32.299
1.0,170,34.809543
1.0,158,37.1265
2.0,231,40.592178
2.0,219,43.822982
0.0,128,45.765952
0.0,136,47.789963
3.0,268,51.844382
2.0,199,54.76729
1.0,178,57.388427
1.0,194,60.302333
1.0,174,62.902591
1.0,184,65.672066
1.0,185,68.42539
0.0,145,70.578901
4.0,302,75.111924
1.0,192,77.939444
3.0,230,81.326288
2.0,207,84.550452
0.0,127,86.60255
1.0,181,89.293866
1.0,174,91.900359
0.0,137,93.979894
2.0,203,97.005172
1.0,163,99.480029
1.0,159,101.896012
4.0,304,106.455416
2.0,202,109.495559
1.0,169,112.029361
1.0,188,114.830101
0.0,145,117.0377
0.0,143,119.223926
7.0,427,125.552154
0.0,153,127.829375
3.0,287,132.157625
1.0,172,134.815739
1.0,189,137.636004
10.0,463,144.400908
1.0,160,146.785195
0.0,147,149.007117
2.0,230,152.395473
2.0,209,155.510694
1.0,169,158.040936
3.0,261,161.971742
0.0,141,164.09271
0.0,155,166.392131
0.0,128,168.332156
0.0,136,170.350429
1.0,167,172.891037
6.0,400,178.831218
6.0,381,184.53307
0.0,135,186.554449
2.0,235,190.065146
0.0,131,192.065159
2.0,207,195.098507
3.0,275,199.228482
0.0,141,201.401577
2.0,213,204.665252
3.0,236,208.276993
4.0,307,212.698868
2.0,201,215.555128
2.0,206,218.60367
0.0,132,221.028573
0.0,131,223.551683
2.0,223,227.167661
0.0,136,229.326711
2.0,211,232.508167
4.0,302,236.893729
0.0,129,238.758613
0.0,135,240.762266
4.0,299,245.396527
0.0,126,247.244558
0.0,128,249.314548
2.0,198,252.192154
4.0,319,256.913918
0.0,129,258.822433
0.0,131,260.780343
0.0,129,262.656672
0.0,136,264.659084
0.0,133,266.716687
0.0,140,268.995735
5.0,358,274.539732
7.0,465,281.762455
12.0,554,290.12685
8.0,395,295.999827
0.0,126,297.830741
0.0,134,299.814152
0.0,133,301.881102
2.0,227,305.31353
4.0,301,309.721912
1.0,172,312.233408
4.0,282,316.678487
0.0,126,318.584816
0.0,128,320.587125
2.0,202,323.599004
5.0,352,328.852188
0.0,125,330.722049
9.0,410,336.838083
3.0,251,340.478877
0.0,129,342.484996
0.0,125,344.336557
0.0,125,346.214469
4.0,300,350.803833
0.0,133,352.962433
2.0,202,356.133523
2.0,202,359.031945
2.0,204,362.031419
0.0,131,364.025641
0.0,126,365.811116
5.0,350,371.144816
