# {"t_start": 1541107205.1102443, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,26.569339
1.0,177,28.881974
2.0,200,31.397419
0.0,129,32.974982
4.0,280,36.647435
1.0,173,38.857632
6.0,341,43.397157
0.0,125,44.938129
3.0,254,48.246553
0.0,129,49.843984
1.0,155,51.759084
8.0,375,56.892159
1.0,153,59.613305
10.0,433,67.172398
3.0,230,70.596121
0.0,129,72.375947
0.0,129,74.165446
0.0,127,75.901334
0.0,125,78.169766
3.0,268,83.238071
0.0,129,84.883456
7.0,452,90.913363
0.0,127,92.465962
3.0,232,95.474692
0.0,127,97.017249
0.0,129,98.549213
3.0,248,101.692556
1.0,175,103.939202
2.0,200,106.522367
0.0,129,108.093209
0.0,125,109.564466
0.0,125,111.066162
2.0,206,113.676991
0.0,129,115.215082
1.0,176,117.369608
1.0,175,119.539371
0.0,129,121.093286
3.0,228,123.926746
5.0,346,128.373347
0.0,125,129.871131
2.0,202,132.427714
1.0,173,134.593486
3.0,248,137.758902
0.0,123,139.230817
15.0,530,146.144308
5.0,350,150.674561
0.0,127,152.212131
2.0,202,154.793813
3.0,250,157.984243
2.0,198,160.44297
3.0,232,163.389531
0.0,125,164.882035
2.0,202,167.412092
0.0,127,168.938472
5.0,350,173.407114
0.0,127,174.959538
0.0,127,176.478302
0.0,129,177.995708
2.0,200,180.467449
5.0,350,185.026549
3.0,230,187.908999
2.0,202,190.408233
1.0,155,192.303549
2.0,205,194.852371
6.0,380,199.755803
2.0,202,202.206161
0.0,125,203.681969
1.0,173,205.80356
0.0,127,207.306611
5.0,372,212.044051
2.0,198,214.499185
2.0,202,217.020053
5.0,348,221.408551
4.0,297,225.13184
5.0,330,229.241441
4.0,262,232.460953
0.0,129,233.945434
10.0,451,239.524086
2.0,222,242.243411
5.0,333,246.407698
3.0,230,249.289498
13.0,457,255.017975
5.0,331,259.129503
0.0,129,260.626641
7.0,433,265.981921
5.0,330,269.962946
2.0,187,272.222254
9.0,404,277.206825
5.0,310,281.003779
14.0,548,287.858766
3.0,216,290.406655
8.0,297,294.018357
7.0,381,298.64663
12.0,490,304.67916
8.0,449,310.131626
15.0,436,315.394878
14.0,654,323.497375
16.0,702,332.223388
15.0,569,340.841759
11.0,621,349.139687
21.0,922,360.543137
7.0,371,365.014703
9.0,472,370.754098
18.0,673,378.978714
38.0,933,390.4668
25.0,834,400.656305
37.0,926,412.041401
38.0,1119,425.795187
64.0,1486,446.033125
51.0,951,457.644987
50.0,1336,473.900519
28.0,851,484.175463
36.0,1111,498.827087
67.0,1516,518.391903
41.0,983,530.46367
27.0,864,540.929689
43.0,1102,554.3203
46.0,912,565.361005
31.0,957,576.979303
75.0,1426,594.349152
41.0,1080,607.512185
83.0,1295,623.142613
85.0,1414,640.261315
73.0,1339,656.523681
55.0,1295,672.215875
130.0,1676,692.637306
61.0,1277,708.125151
104.0,1544,726.871812
75.0,1233,741.888901
339.0,1820,768.121786
264.0,1534,786.892435
35.0,877,797.44845
264.0,1709,818.071808
62.0,918,829.12131
262.0,1699,849.795072
310.0,1756,871.219256
361.0,1659,891.286783
371.0,1933,914.795175
97.0,1431,932.130601
361.0,2216,958.903805
342.0,1853,981.283837
313.0,1560,1000.176247
319.0,2210,1026.917385
266.0,2041,1051.563096
354.0,2094,1076.759722
417.0,2647,1109.392634
358.0,2061,1134.260523
